"","Age","BMI","REI3","REI0","HB","avgEventLength","avgSpO2","minSpO2","Per90","SDBPC1","SDBPC2"
"Age",0.999999999999976,0.119114443559424,0.273309017316658,0.380664497299774,0.311256180159992,0.195587023633386,-0.316559228003758,-0.346511593227563,0.133312472074506,0.538685043072558,-0.0838940178426786
"BMI",0.119114443559422,0.999999999999973,0.306688659317603,0.283130685462359,0.254759422582061,-0.0909319956939533,-0.269794195932788,-0.29161140956048,0.15904128163451,0.333355809751016,0.186940937277122
"REI3",0.273309017316658,0.306688659317603,1,0.820303432813556,0.889405445598884,0.220555337767353,-0.593189023561534,-0.669240968310759,0.462768218541004,0.673429557900036,0.148504576559953
"REI0",0.380664497299774,0.283130685462359,0.820303432813556,1,0.759381629420787,0.184087988381424,-0.446411863091678,-0.584843431970234,0.293236800600331,0.766671936503509,-0.0247915352192827
"HB",0.311256180159992,0.254759422582061,0.889405445598884,0.759381629420787,0.999999999999992,0.316339135244865,-0.698084671474037,-0.717112587389897,0.818528989827834,0.674342391510547,0.0800385837456367
"avgEventLength",0.195587023633386,-0.0909319956939508,0.220555337767353,0.184087988381425,0.316339135244865,1,-0.173876924875848,-0.240454313094295,0.203743998573888,0.365931982594742,-0.526544845168949
"avgSpO2",-0.316559228003758,-0.269794195932621,-0.593189023561529,-0.446411863091678,-0.698084671474027,-0.173876924875848,1,0.601989219891164,-0.768562535339766,-0.643692645851253,-0.380849580512546
"minSpO2",-0.346511593227557,-0.29161140956048,-0.669240968310758,-0.584843431970234,-0.717112587389898,-0.240454313094284,0.601989219891164,1,-0.460592209288118,-0.791815640506806,-0.322512229654842
"Per90",0.133312472074506,0.15904128163451,0.462768218541004,0.293236800600331,0.818528989827834,0.203743998573888,-0.768562535339766,-0.460592209288117,0.999999999999995,0.448829430556217,0.195999459535773
"SDBPC1",0.538685043072558,0.333355809751016,0.673429557900036,0.766671936503509,0.674342391510546,0.365931982594742,-0.643692645851264,-0.791815640506805,0.448829430556217,0.999999999999999,0.01317365984772
"SDBPC2",-0.0838940178426787,0.186940937277122,0.148504576559953,-0.0247915352192827,0.0800385837456367,-0.526544845168948,-0.380849580512546,-0.322512229654843,0.195999459535773,0.01317365984772,0.999999999999995
