"Exposure","model","Quartile","IRR","lowerCI","upperCI","se","pval","strata","outcome","baseline"
"SDB PC1 MRS","model_1","2nd",1.16451338654407,0.769478160417331,1.76235206819238,0.211401027263043,0.471249617257348,"both","incident hypertension","normal"
"SDB PC1 MRS","model_2","2nd",1.14469180986729,0.75093189661619,1.7449243339932,0.215089670417361,0.529823877767904,"both","incident hypertension","normal"
"SDB PC2 MRS","model_1","2nd",1.14433828675441,0.77256296088486,1.69502057545208,0.200443023070498,0.501174571598209,"both","incident hypertension","normal"
"SDB PC2 MRS","model_2","2nd",1.11666290188113,0.759253495276116,1.64231846701492,0.196818498566218,0.57504172089848,"both","incident hypertension","normal"
"OSA LASSO MRS","model_1","2nd",1.68151994659166,1.2003543454985,2.35556220660105,0.171980261932227,0.00251237133394643,"both","incident hypertension","normal"
"OSA LASSO MRS","model_2","2nd",1.6452761113116,1.18342690421121,2.28736855045294,0.168109098612042,0.00305830481970961,"both","incident hypertension","normal"
"SDB PC1 MRS","model_1","3rd",1.27902874227793,0.867745614224106,1.88524666302788,0.197937588393556,0.213747643629183,"both","incident hypertension","normal"
"SDB PC1 MRS","model_2","3rd",1.22958282108197,0.844237821170074,1.79081518973469,0.191834687470387,0.281319645825437,"both","incident hypertension","normal"
"SDB PC2 MRS","model_1","3rd",1.33160178268569,0.936056227682779,1.89429144875325,0.179827702791142,0.111263727878864,"both","incident hypertension","normal"
"SDB PC2 MRS","model_2","3rd",1.30235899836495,0.915674543307808,1.85233822761412,0.179730364122266,0.141601542143432,"both","incident hypertension","normal"
"OSA LASSO MRS","model_1","3rd",1.78578839895831,1.22961334835774,2.59353089336038,0.190387871822095,0.00232156943281905,"both","incident hypertension","normal"
"OSA LASSO MRS","model_2","3rd",1.74517768669821,1.2160461481562,2.50454735025246,0.184312062779761,0.00251717376442459,"both","incident hypertension","normal"
"SDB PC1 MRS","model_1","4th",1.76334407580033,1.18976460650649,2.61344329177031,0.200743148684552,0.00471978728713143,"both","incident hypertension","normal"
"SDB PC1 MRS","model_2","4th",1.7044958958805,1.15859497699913,2.50761164751334,0.196970081894474,0.00678201671874992,"both","incident hypertension","normal"
"SDB PC2 MRS","model_1","4th",1.66839163782125,1.18218830598333,2.35455776635902,0.17576166000796,0.00358847230477744,"both","incident hypertension","normal"
"SDB PC2 MRS","model_2","4th",1.59097688326816,1.11917330469585,2.26167603576068,0.179468330412637,0.00967159896700738,"both","incident hypertension","normal"
"OSA LASSO MRS","model_1","4th",2.56948845535904,1.81243191979374,3.64276906079581,0.178080249458985,0.000000116225444137909,"both","incident hypertension","normal"
"OSA LASSO MRS","model_2","4th",2.50895096525261,1.78504282919944,3.52643356398632,0.173684854468411,0.000000118255976649523,"both","incident hypertension","normal"
"SDB PC1 MRS","model_1","2nd",1.11905085655114,0.740442434313217,1.69125209674046,0.210708297831216,0.59346419363611,"both","incident diabetes","norm+preDM"
"SDB PC1 MRS","model_2","2nd",1.14432520407599,0.757868694017282,1.72784571129638,0.210234825047624,0.521353964625594,"both","incident diabetes","norm+preDM"
"SDB PC2 MRS","model_1","2nd",1.34173872237817,0.829970687960835,2.16906792642532,0.245066949696742,0.230320073648067,"both","incident diabetes","norm+preDM"
"SDB PC2 MRS","model_2","2nd",1.31946336556128,0.826959453706019,2.10528287119287,0.238379962257011,0.244847856440896,"both","incident diabetes","norm+preDM"
