"trait","model","index","or","se","lowerCI","upperCI","n","p_val","outcome","strata","p_label","IRR","baseline"
"REI3","mdl1_both_covar","1",1.0614455601637,0.039,0.983332186177786,1.14576405921441,5660,0.122028424231326,"incident_htn","both","",1.0614455601637,"Normal"
"REI3","mdl2_both_covar","2",1.06071719016589,0.038,0.984585315284215,1.14273587067327,5579,0.123865779266581,"incident_htn","both","",1.06071719016589,"Normal"
"log_HB","mdl1_both_covar","3",1.14101645907655,0.05,1.03450132178693,1.25849869155772,5660,0.00828127595425751,"incident_htn","both","**",1.14101645907655,"Normal"
"log_HB","mdl2_both_covar","4",1.14457285885639,0.05,1.03772572774863,1.26242126816385,5579,0.00710163078185202,"incident_htn","both","**",1.14457285885639,"Normal"
"sdb_pc1","mdl1_both_covar","5",1.15751163930037,0.054,1.04126108726806,1.28674086787507,5660,0.0067564098649015,"incident_htn","both","**",1.15751163930037,"Normal"
"sdb_pc1","mdl2_both_covar","6",1.14681793492238,0.053,1.03366536689033,1.27235701029265,5579,0.00926453760523378,"incident_htn","both","**",1.14681793492238,"Normal"
"sdb_pc2","mdl1_both_covar","7",1.04149681021879,0.043,0.957316634250619,1.1330792413787,5660,0.34084538405405,"incident_htn","both","",1.04149681021879,"Normal"
"sdb_pc2","mdl2_both_covar","8",1.02224597590999,0.043,0.939621770736689,1.11213561435988,5579,0.611558957533396,"incident_htn","both","",1.02224597590999,"Normal"
"REI3","mdl1_both_covar","1",1.09005145584602,0.044,0.999984902438984,1.18823011576871,3488,0.0513806664872157,"incident_htn","female","",1.09005145584602,"Normal"
"REI3","mdl2_both_covar","2",1.07895232503291,0.042,0.993690489983874,1.17152989932792,3450,0.0707117814074672,"incident_htn","female","",1.07895232503291,"Normal"
"log_HB","mdl1_both_covar","3",1.13082884625957,0.061,1.00339661157144,1.27444508461119,3488,0.0437589184326517,"incident_htn","female","*",1.13082884625957,"Normal"
"log_HB","mdl2_both_covar","4",1.14119973494904,0.06,1.01458545271913,1.28361473304929,3450,0.0279746321455976,"incident_htn","female","*",1.14119973494904,"Normal"
"sdb_pc1","mdl1_both_covar","5",1.12450659211791,0.068,0.98419065527807,1.28482735426842,3488,0.0849342320003764,"incident_htn","female","",1.12450659211791,"Normal"
"sdb_pc1","mdl2_both_covar","6",1.11292957449451,0.065,0.979802552071053,1.26414473524938,3450,0.0987557023782143,"incident_htn","female","",1.11292957449451,"Normal"
"sdb_pc2","mdl1_both_covar","7",0.994763542133559,0.053,0.896613656306484,1.10365763202234,3488,0.920661233959948,"incident_htn","female","",0.994763542133559,"Normal"
"sdb_pc2","mdl2_both_covar","8",0.958781570820677,0.052,0.865877359464601,1.06165392881247,3450,0.422360131070307,"incident_htn","female","",0.958781570820677,"Normal"
"REI3","mdl1_both_covar","1",1.03001108383292,0.05,0.933858420011502,1.13606389371699,2172,0.551780746669882,"incident_htn","male","",1.03001108383292,"Normal"
"REI3","mdl2_both_covar","2",1.02668388811184,0.051,0.929019158481373,1.13461578965875,2129,0.603364557230538,"incident_htn","male","",1.02668388811184,"Normal"
"log_HB","mdl1_both_covar","3",1.11517561212866,0.08,0.953335770069434,1.30448965089809,2172,0.174271798673829,"incident_htn","male","",1.11517561212866,"Normal"
"log_HB","mdl2_both_covar","4",1.1113156775762,0.08,0.950036008454345,1.29997444753275,2129,0.188628785709823,"incident_htn","male","",1.1113156775762,"Normal"
"sdb_pc1","mdl1_both_covar","5",1.15794003351856,0.08,0.989894005520344,1.35451383051881,2172,0.065402832478001,"incident_htn","male","",1.15794003351856,"Normal"
"sdb_pc1","mdl2_both_covar","6",1.14610657031504,0.078,0.983626140405682,1.33542635414056,2129,0.0791564079549286,"incident_htn","male","",1.14610657031504,"Normal"
"sdb_pc2","mdl1_both_covar","7",1.09512488593163,0.076,0.943563520461911,1.27103103265337,2172,0.22937198520496,"incident_htn","male","",1.09512488593163,"Normal"
"sdb_pc2","mdl2_both_covar","8",1.08456438851749,0.078,0.930808627338785,1.2637183179139,2129,0.296477499315214,"incident_htn","male","",1.08456438851749,"Normal"
"REI3","mdl1_both_covar","1",1.09287562148848,0.034,1.02242004184417,1.16818633747583,6588,0.00918761368786379,"incident_dm","both","**",1.09287562148848,"Normal+Pre-diabetic"
"REI3","mdl2_both_covar","2",1.09683865848035,0.034,1.02612758949862,1.17242246972893,6497,0.00608021557016987,"incident_dm","both","**",1.09683865848035,"Normal+Pre-diabetic"
"log_HB","mdl1_both_covar","3",1.15792141107063,0.061,1.02743613604954,1.3049784285095,6588,0.0157201413098684,"incident_dm","both","*",1.15792141107063,"Normal+Pre-diabetic"
"log_HB","mdl2_both_covar","4",1.15317261339023,0.061,1.02322247673468,1.2996265294298,6497,0.0189564578560528,"incident_dm","both","*",1.15317261339023,"Normal+Pre-diabetic"
"sdb_pc1","mdl1_both_covar","5",1.19435330304759,0.049,1.08498359807961,1.3147478128015,6588,0.000278036077120766,"incident_dm","both","***",1.19435330304759,"Normal+Pre-diabetic"
"sdb_pc1","mdl2_both_covar","6",1.19325402548624,0.049,1.08398498391682,1.31353772465945,6497,0.000325029828240746,"incident_dm","both","***",1.19325402548624,"Normal+Pre-diabetic"
"sdb_pc2","mdl1_both_covar","7",1.02941188822249,0.048,0.936980935621384,1.13096093562569,6588,0.547353221613823,"incident_dm","both","",1.02941188822249,"Normal+Pre-diabetic"
"sdb_pc2","mdl2_both_covar","8",1.03544899976019,0.048,0.942475974567173,1.13759359393405,6497,0.465418439494197,"incident_dm","both","",1.03544899976019,"Normal+Pre-diabetic"
"REI3","mdl1_both_covar","1",1.10785480203793,0.039,1.02632610219549,1.19585993162701,4083,0.00914538043817976,"incident_dm","female","**",1.10785480203793,"Normal+Pre-diabetic"
"REI3","mdl2_both_covar","2",1.10807005216336,0.039,1.02652551174069,1.19609228066752,4036,0.0080781280224539,"incident_dm","female","**",1.10807005216336,"Normal+Pre-diabetic"
"log_HB","mdl1_both_covar","3",1.06348587832458,0.073,0.921706972743359,1.22707351342856,4083,0.402209290650157,"incident_dm","female","",1.06348587832458,"Normal+Pre-diabetic"
"log_HB","mdl2_both_covar","4",1.0641297914127,0.072,0.924074454512857,1.22541231114217,4036,0.390990830989321,"incident_dm","female","",1.0641297914127,"Normal+Pre-diabetic"
"sdb_pc1","mdl1_both_covar","5",1.12672577176939,0.067,0.988067641620794,1.2848421619059,4083,0.0728604763234108,"incident_dm","female","",1.12672577176939,"Normal+Pre-diabetic"
"sdb_pc1","mdl2_both_covar","6",1.12465508740718,0.066,0.988186730784036,1.279969692193,4036,0.0747729985432819,"incident_dm","female","",1.12465508740718,"Normal+Pre-diabetic"
"sdb_pc2","mdl1_both_covar","7",1.03893075499407,0.061,0.921854445671898,1.17087585653052,4083,0.528462914664904,"incident_dm","female","",1.03893075499407,"Normal+Pre-diabetic"
"sdb_pc2","mdl2_both_covar","8",1.03177105944759,0.062,0.913708944989421,1.16508820992873,4036,0.616087569293003,"incident_dm","female","",1.03177105944759,"Normal+Pre-diabetic"
"REI3","mdl1_both_covar","1",1.09981926000865,0.047,1.00303043974788,1.20594785238025,2505,0.0434645646590413,"incident_dm","male","*",1.09981926000865,"Normal+Pre-diabetic"
"REI3","mdl2_both_covar","2",1.10658961718361,0.047,1.00920497640257,1.21337152460701,2461,0.030596126333383,"incident_dm","male","*",1.10658961718361,"Normal+Pre-diabetic"
"log_HB","mdl1_both_covar","3",1.29675623253762,0.111,1.04321359123506,1.61191987983435,2505,0.0190356817104091,"incident_dm","male","*",1.29675623253762,"Normal+Pre-diabetic"
"log_HB","mdl2_both_covar","4",1.29135390244182,0.112,1.03683334211189,1.60835385362421,2461,0.0219373918985303,"incident_dm","male","*",1.29135390244182,"Normal+Pre-diabetic"
"sdb_pc1","mdl1_both_covar","5",1.27734428263308,0.084,1.08344214417056,1.50594881799112,2505,0.00367388533290023,"incident_dm","male","**",1.27734428263308,"Normal+Pre-diabetic"
"sdb_pc1","mdl2_both_covar","6",1.2805796749991,0.085,1.08405956038149,1.51272528185048,2461,0.00360520290819274,"incident_dm","male","**",1.2805796749991,"Normal+Pre-diabetic"
"sdb_pc2","mdl1_both_covar","7",1.02208743799165,0.083,0.868634399645495,1.20264950516198,2505,0.792375426818171,"incident_dm","male","",1.02208743799165,"Normal+Pre-diabetic"
"sdb_pc2","mdl2_both_covar","8",1.03493847235694,0.08,0.884743043865141,1.21063132283612,2461,0.669532602680217,"incident_dm","male","",1.03493847235694,"Normal+Pre-diabetic"
"REI3","mdl1_both_covar","1",1.04653315702376,0.035,0.977148098114566,1.12084509079371,3313,0.191784210420045,"incident_dm","both","",1.04653315702376,"Pre-diabetic"
"REI3","mdl2_both_covar","2",1.05090931500846,0.034,0.983159222054901,1.12332810759099,3278,0.147671576966635,"incident_dm","both","",1.05090931500846,"Pre-diabetic"
"log_HB","mdl1_both_covar","3",1.08728498839604,0.06,0.96665246091717,1.22297174402236,3313,0.16621252356095,"incident_dm","both","",1.08728498839604,"Pre-diabetic"
"log_HB","mdl2_both_covar","4",1.08867851553089,0.061,0.965996169259,1.22694162554258,3278,0.163642895393305,"incident_dm","both","",1.08867851553089,"Pre-diabetic"
"sdb_pc1","mdl1_both_covar","5",1.11774784770359,0.049,1.01539308214134,1.23042029044678,3313,0.0240257248465212,"incident_dm","both","*",1.11774784770359,"Pre-diabetic"
"sdb_pc1","mdl2_both_covar","6",1.11900784958157,0.05,1.01454724011516,1.23422401433277,3278,0.0240145641132055,"incident_dm","both","*",1.11900784958157,"Pre-diabetic"
"sdb_pc2","mdl1_both_covar","7",1.03737383522801,0.052,0.936854174675094,1.14867874115935,3313,0.480836882766868,"incident_dm","both","",1.03737383522801,"Pre-diabetic"
"sdb_pc2","mdl2_both_covar","8",1.04378856416082,0.052,0.942647327901085,1.1557817376927,3278,0.40678583737019,"incident_dm","both","",1.04378856416082,"Pre-diabetic"
"REI3","mdl1_both_covar","1",1.07338740464503,0.04,0.992448106547492,1.16092772292015,2011,0.0733430971443707,"incident_dm","female","",1.07338740464503,"Pre-diabetic"
"REI3","mdl2_both_covar","2",1.08407112851376,0.04,1.00232621903373,1.17248275996414,1993,0.0411115468229873,"incident_dm","female","*",1.08407112851376,"Pre-diabetic"
"log_HB","mdl1_both_covar","3",1.0439918529187,0.068,0.913722545542258,1.19283363891804,2011,0.526435084038215,"incident_dm","female","",1.0439918529187,"Pre-diabetic"
"log_HB","mdl2_both_covar","4",1.04743634524672,0.067,0.918535801103217,1.1944258416777,1993,0.489999941457485,"incident_dm","female","",1.04743634524672,"Pre-diabetic"
"sdb_pc1","mdl1_both_covar","5",1.06667208580466,0.065,0.939078317124472,1.21160218257286,2011,0.317377116789517,"incident_dm","female","",1.06667208580466,"Pre-diabetic"
"sdb_pc1","mdl2_both_covar","6",1.0688178374845,0.066,0.939124907230402,1.21642133110284,1993,0.311290815118764,"incident_dm","female","",1.0688178374845,"Pre-diabetic"
"sdb_pc2","mdl1_both_covar","7",1.01930940915635,0.07,0.888629712284413,1.1692065403977,2011,0.785602378479167,"incident_dm","female","",1.01930940915635,"Pre-diabetic"
"sdb_pc2","mdl2_both_covar","8",1.01696256855261,0.071,0.884847744081669,1.16880318987587,1993,0.8125971554589,"incident_dm","female","",1.01696256855261,"Pre-diabetic"
"REI3","mdl1_both_covar","1",1.04442691095868,0.048,0.950647758603215,1.14745715483245,1302,0.361903105087538,"incident_dm","male","",1.04442691095868,"Pre-diabetic"
"REI3","mdl2_both_covar","2",1.04862765200409,0.047,0.956343913192769,1.14981643881279,1285,0.311324885391791,"incident_dm","male","",1.04862765200409,"Pre-diabetic"
"log_HB","mdl1_both_covar","3",1.13514030883797,0.107,0.920384522900498,1.40000563752208,1302,0.237040755055838,"incident_dm","male","",1.13514030883797,"Pre-diabetic"
"log_HB","mdl2_both_covar","4",1.14180522474213,0.111,0.918558707570835,1.41930957760572,1285,0.230923573167368,"incident_dm","male","",1.14180522474213,"Pre-diabetic"
"sdb_pc1","mdl1_both_covar","5",1.17383434849037,0.085,0.993695568209029,1.38662898555462,1302,0.0596695132534675,"incident_dm","male","",1.17383434849037,"Pre-diabetic"
"sdb_pc1","mdl2_both_covar","6",1.17804173786204,0.086,0.995304573865995,1.39432930640973,1285,0.05757206266151,"incident_dm","male","",1.17804173786204,"Pre-diabetic"
"sdb_pc2","mdl1_both_covar","7",1.07060342567269,0.08,0.915232121427433,1.25235081705225,1302,0.39561318882343,"incident_dm","male","",1.07060342567269,"Pre-diabetic"
"sdb_pc2","mdl2_both_covar","8",1.07432298471017,0.081,0.91661355517151,1.25916736553238,1285,0.378439506039619,"incident_dm","male","",1.07432298471017,"Pre-diabetic"
"REI3","mdl1_both_covar","1",1.20933086870276,0.1,0.994084769847672,1.47118353922823,3275,0.0571824145879486,"incident_dm","both","",1.20933086870276,"Normal"
"REI3","mdl2_both_covar","2",1.24999104522307,0.1,1.02750793241154,1.52064773794083,3219,0.026048648893422,"incident_dm","both","*",1.24999104522307,"Normal"
"log_HB","mdl1_both_covar","3",1.14738351829517,0.161,0.836878942716462,1.57309363500311,3275,0.392661281204795,"incident_dm","both","",1.14738351829517,"Normal"
"log_HB","mdl2_both_covar","4",1.12891260845335,0.156,0.831515679217606,1.53267546166309,3219,0.435997680265878,"incident_dm","both","",1.12891260845335,"Normal"
"sdb_pc1","mdl1_both_covar","5",1.13578402187338,0.14,0.86322766226681,1.49439759721712,3275,0.364435806865456,"incident_dm","both","",1.13578402187338,"Normal"
"sdb_pc1","mdl2_both_covar","6",1.14604399773057,0.14,0.871025531230932,1.50789706804362,3219,0.331106654549428,"incident_dm","both","",1.14604399773057,"Normal"
"sdb_pc2","mdl1_both_covar","7",0.888652827695275,0.11,0.716305419254682,1.10246806312382,3275,0.283297738399752,"incident_dm","both","",0.888652827695275,"Normal"
"sdb_pc2","mdl2_both_covar","8",0.914749938723349,0.105,0.744602662302236,1.12377714015576,3219,0.394101412728036,"incident_dm","both","",0.914749938723349,"Normal"
"REI3","mdl1_both_covar","1",1.18704986249426,0.124,0.930932154549755,1.51363057894283,2072,0.16830981750255,"incident_dm","female","",1.18704986249426,"Normal"
"REI3","mdl2_both_covar","2",1.18448440802169,0.125,0.92710132163531,1.51332252484739,2043,0.175490625995416,"incident_dm","female","",1.18448440802169,"Normal"
"log_HB","mdl1_both_covar","3",0.975290549718587,0.186,0.677341397905633,1.40430167019395,2072,0.893022437639537,"incident_dm","female","",0.975290549718587,"Normal"
"log_HB","mdl2_both_covar","4",0.978238499649992,0.183,0.683395329179428,1.40028841482792,2043,0.904523050597616,"incident_dm","female","",0.978238499649992,"Normal"
"sdb_pc1","mdl1_both_covar","5",1.13456311943893,0.183,0.792603375108654,1.62405752033865,2072,0.489678004112963,"incident_dm","female","",1.13456311943893,"Normal"
"sdb_pc1","mdl2_both_covar","6",1.1377030254232,0.184,0.79324063044333,1.63174719546792,2043,0.483242638850085,"incident_dm","female","",1.1377030254232,"Normal"
"sdb_pc2","mdl1_both_covar","7",1.0678757473233,0.116,0.8507060666292,1.34048487069078,2072,0.569712475248701,"incident_dm","female","",1.0678757473233,"Normal"
"sdb_pc2","mdl2_both_covar","8",1.05895557718966,0.117,0.841948119742631,1.33189550301968,2043,0.625074540412798,"incident_dm","female","",1.05895557718966,"Normal"
"REI3","mdl1_both_covar","1",1.2821348361454,0.136,0.982128159358252,1.67378332694556,1203,0.0670145223750202,"incident_dm","male","",1.2821348361454,"Normal"
"REI3","mdl2_both_covar","2",1.32433993560631,0.133,1.02044027212792,1.71874465654358,1176,0.0340550189657976,"incident_dm","male","*",1.32433993560631,"Normal"
"log_HB","mdl1_both_covar","3",1.61908998222624,0.241,1.00954956087498,2.59665545124238,1203,0.0458311270444222,"incident_dm","male","*",1.61908998222624,"Normal"
"log_HB","mdl2_both_covar","4",1.56898458305833,0.226,1.00749660764971,2.44339544489128,1176,0.0462781852377979,"incident_dm","male","*",1.56898458305833,"Normal"
"sdb_pc1","mdl1_both_covar","5",1.13874982168771,0.219,0.741330312618034,1.74922181694456,1203,0.553482652781,"incident_dm","male","",1.13874982168771,"Normal"
"sdb_pc1","mdl2_both_covar","6",1.17695723395371,0.212,0.776788235324406,1.78327666095181,1176,0.443088533513207,"incident_dm","male","",1.17695723395371,"Normal"
"sdb_pc2","mdl1_both_covar","7",0.631073582375087,0.186,0.438281968989236,0.908670432621668,1203,0.013377475999445,"incident_dm","male","*",0.631073582375087,"Normal"
"sdb_pc2","mdl2_both_covar","8",0.696832783408446,0.174,0.495469339002902,0.98003224379121,1176,0.0383139400364004,"incident_dm","male","*",0.696832783408446,"Normal"
