trait,model,or,se,lowerCI,upperCI,n,p_val,outcome,strata,p_label,IRR,baseline
log_HB,mdl1_mdl1_covar,1.372102329,0.192,0.94178724,1.999034094,1376,0.099742774,incident_dm,both,,1.372102329,Normal
log_HB,mdl2_mdl1_covar,1.304180779,0.178,0.920070564,1.848648974,1357,0.136217163,incident_dm,both,,1.304180779,Normal
osa_lasso_mrs,mdl1_mdl1_covar,1.402895383,0.156,1.033321356,1.904649938,1376,0.029585766,incident_dm,both,*,1.402895383,Normal
osa_lasso_mrs,mdl2_mdl1_covar,1.320197326,0.147,0.989714476,1.761034138,1357,0.058168767,incident_dm,both,,1.320197326,Normal
REI3,mdl1_mdl1_covar,1.176787179,0.155,0.868478886,1.594544308,1376,0.292871271,incident_dm,both,,1.176787179,Normal
REI3,mdl2_mdl1_covar,1.247906065,0.153,0.924582494,1.684294865,1357,0.148094163,incident_dm,both,,1.247906065,Normal
sdb_pc1,mdl1_mdl1_covar,1.098320047,0.155,0.810569479,1.488221499,1376,0.544431424,incident_dm,both,,1.098320047,Normal
sdb_pc1,mdl2_mdl1_covar,1.103662331,0.157,0.811325492,1.501333993,1357,0.529254523,incident_dm,both,,1.103662331,Normal
sdb_pc2,mdl1_mdl1_covar,0.779123708,0.168,0.560533964,1.082956236,1376,0.138384271,incident_dm,both,,0.779123708,Normal
sdb_pc2,mdl2_mdl1_covar,0.837757238,0.155,0.618271923,1.135159406,1357,0.252855834,incident_dm,both,,0.837757238,Normal
sdbpc1_mrs,mdl1_mdl1_covar,1.016045557,0.18,0.71399322,1.445880079,1376,0.92946193,incident_dm,both,,1.016045557,Normal
sdbpc1_mrs,mdl2_mdl1_covar,1.005797643,0.18,0.706791829,1.431296821,1357,0.974401293,incident_dm,both,,1.005797643,Normal
sdbpc2_mrs,mdl1_mdl1_covar,1.396724382,0.129,1.084685158,1.798530186,1376,0.009765068,incident_dm,both,**,1.396724382,Normal
sdbpc2_mrs,mdl2_mdl1_covar,1.426701355,0.137,1.090727642,1.866164089,1357,0.00932139,incident_dm,both,**,1.426701355,Normal
sex_sdbpc1_mrs,mdl1_mdl1_covar,1.057128969,0.192,0.725594989,1.540145224,1376,0.772074749,incident_dm,both,,1.057128969,Normal
sex_sdbpc1_mrs,mdl2_mdl1_covar,1.068803103,0.192,0.733607912,1.557153426,1357,0.729105688,incident_dm,both,,1.068803103,Normal
sex_sdbpc2_mrs,mdl1_mdl1_covar,1.454106612,0.143,1.098682461,1.924510596,1376,0.008783842,incident_dm,both,**,1.454106612,Normal
sex_sdbpc2_mrs,mdl2_mdl1_covar,1.388530051,0.147,1.040941582,1.852184346,1357,0.025690332,incident_dm,both,*,1.388530051,Normal
log_HB,mdl1_mdl1_covar,1.134949663,0.214,0.746132784,1.72638271,868,0.553863422,incident_dm,female,,1.134949663,Normal
log_HB,mdl2_mdl1_covar,1.113075127,0.234,0.7036224,1.760797039,857,0.646980625,incident_dm,female,,1.113075127,Normal
osa_lasso_mrs,mdl1_mdl1_covar,1.242945561,0.171,0.888984051,1.737841829,868,0.203262789,incident_dm,female,,1.242945561,Normal
osa_lasso_mrs,mdl2_mdl1_covar,1.313991353,0.169,0.943488917,1.829987871,857,0.107125849,incident_dm,female,,1.313991353,Normal
REI3,mdl1_mdl1_covar,1.040818485,0.259,0.626483657,1.729180174,868,0.877098019,incident_dm,female,,1.040818485,Normal
REI3,mdl2_mdl1_covar,1.026189284,0.252,0.626211076,1.681644556,857,0.918361925,incident_dm,female,,1.026189284,Normal
sdb_pc1,mdl1_mdl1_covar,0.992819958,0.225,0.63877312,1.543101046,868,0.974441092,incident_dm,female,,0.992819958,Normal
sdb_pc1,mdl2_mdl1_covar,0.990225891,0.243,0.615018956,1.594336736,857,0.967743385,incident_dm,female,,0.990225891,Normal
sdb_pc2,mdl1_mdl1_covar,1.02539928,0.171,0.733389807,1.433676434,868,0.883718055,incident_dm,female,,1.02539928,Normal
sdb_pc2,mdl2_mdl1_covar,1.055674241,0.186,0.733168046,1.520044566,857,0.770585278,incident_dm,female,,1.055674241,Normal
sdbpc1_mrs,mdl1_mdl1_covar,0.774661324,0.292,0.437075493,1.37298974,868,0.381976745,incident_dm,female,,0.774661324,Normal
sdbpc1_mrs,mdl2_mdl1_covar,0.784399967,0.276,0.456669097,1.34732854,857,0.378335978,incident_dm,female,,0.784399967,Normal
sdbpc2_mrs,mdl1_mdl1_covar,1.706138645,0.209,1.132687033,2.569914719,868,0.010453236,incident_dm,female,*,1.706138645,Normal
sdbpc2_mrs,mdl2_mdl1_covar,1.821037281,0.22,1.183180644,2.802764562,857,0.006476573,incident_dm,female,**,1.821037281,Normal
sex_sdbpc1_mrs,mdl1_mdl1_covar,0.907071657,0.311,0.493075079,1.668668783,868,0.753503702,incident_dm,female,,0.907071657,Normal
sex_sdbpc1_mrs,mdl2_mdl1_covar,0.92681353,0.288,0.527037862,1.629832277,857,0.792070199,incident_dm,female,,0.92681353,Normal
