"Exposure","Quartile","IRR","pval","n","model","strata","outcome","baseline"
"sdbpc1_mrs_qt","2nd","1.16[0.77, 1.76]",0.470393905838941,2388,"model_1","both","inc_htn","normal"
"sdbpc1_mrs_qt","2nd","1.15[0.75, 1.75]",0.528960019164595,2360,"model_2","both","inc_htn","normal"
"sdbpc2_mrs_qt","2nd","1.14[0.77, 1.69]",0.501811212372712,2388,"model_1","both","inc_htn","normal"
"sdbpc2_mrs_qt","2nd","1.12[0.76, 1.64]",0.575732702549426,2360,"model_2","both","inc_htn","normal"
"sex_sdbpc1_mrs_qt","2nd","1.11[0.75, 1.63]",0.607655551914496,2388,"model_1","both","inc_htn","normal"
"sex_sdbpc1_mrs_qt","2nd","1.06[0.72, 1.55]",0.762191222772026,2360,"model_2","both","inc_htn","normal"
"sex_sdbpc2_mrs_qt","2nd","1.05[0.74, 1.49]",0.798524137486537,2388,"model_1","both","inc_htn","normal"
"sex_sdbpc2_mrs_qt","2nd","1.07[0.75, 1.53]",0.704358699209078,2360,"model_2","both","inc_htn","normal"
"osa_lasso_mrs_qt","2nd","1.68[1.2, 2.36]",0.00246611586533624,2388,"model_1","both","inc_htn","normal"
"osa_lasso_mrs_qt","2nd","1.65[1.18, 2.29]",0.00301432611125776,2360,"model_2","both","inc_htn","normal"
"sdbpc1_mrs_qt","3rd","1.28[0.87, 1.88]",0.217929555151957,2388,"model_1","both","inc_htn","normal"
"sdbpc1_mrs_qt","3rd","1.23[0.84, 1.79]",0.286652935805848,2360,"model_2","both","inc_htn","normal"
"sdbpc2_mrs_qt","3rd","1.34[0.94, 1.9]",0.106520248914974,2388,"model_1","both","inc_htn","normal"
"sdbpc2_mrs_qt","3rd","1.31[0.92, 1.86]",0.134545857009432,2360,"model_2","both","inc_htn","normal"
"sex_sdbpc1_mrs_qt","3rd","1.59[1.1, 2.29]",0.0130629827522408,2388,"model_1","both","inc_htn","normal"
"sex_sdbpc1_mrs_qt","3rd","1.52[1.07, 2.17]",0.0185747976618929,2360,"model_2","both","inc_htn","normal"
"sex_sdbpc2_mrs_qt","3rd","1.01[0.74, 1.39]",0.927317244099425,2388,"model_1","both","inc_htn","normal"
"sex_sdbpc2_mrs_qt","3rd","1[0.73, 1.36]",0.978669368304931,2360,"model_2","both","inc_htn","normal"
"osa_lasso_mrs_qt","3rd","1.72[1.18, 2.49]",0.00441325213707952,2388,"model_1","both","inc_htn","normal"
"osa_lasso_mrs_qt","3rd","1.67[1.17, 2.4]",0.00503518114778153,2360,"model_2","both","inc_htn","normal"
"sdbpc1_mrs_qt","4th","1.77[1.19, 2.62]",0.00453003237926609,2388,"model_1","both","inc_htn","normal"
"sdbpc1_mrs_qt","4th","1.71[1.16, 2.51]",0.00651325188106267,2360,"model_2","both","inc_htn","normal"
"sdbpc2_mrs_qt","4th","1.66[1.18, 2.34]",0.00398494521624265,2388,"model_1","both","inc_htn","normal"
"sdbpc2_mrs_qt","4th","1.58[1.11, 2.25]",0.0109064581153554,2360,"model_2","both","inc_htn","normal"
"sex_sdbpc1_mrs_qt","4th","1.57[1.08, 2.28]",0.0172667936777093,2388,"model_1","both","inc_htn","normal"
"sex_sdbpc1_mrs_qt","4th","1.55[1.09, 2.21]",0.0158072061127579,2360,"model_2","both","inc_htn","normal"
"sex_sdbpc2_mrs_qt","4th","1.27[0.91, 1.77]",0.152160340021077,2388,"model_1","both","inc_htn","normal"
"sex_sdbpc2_mrs_qt","4th","1.24[0.89, 1.72]",0.204013754531593,2360,"model_2","both","inc_htn","normal"
"osa_lasso_mrs_qt","4th","2.67[1.86, 3.83]",0.0000000847199574366571,2388,"model_1","both","inc_htn","normal"
"osa_lasso_mrs_qt","4th","2.62[1.84, 3.72]",0.0000000899123381700073,2360,"model_2","both","inc_htn","normal"
"sdbpc1_mrs_qt","2nd","1.12[0.74, 1.69]",0.593517800108422,2908,"model_1","both","inc_dm","norm+preDM"
"sdbpc1_mrs_qt","2nd","1.14[0.76, 1.73]",0.521458872540762,2874,"model_2","both","inc_dm","norm+preDM"
"sdbpc2_mrs_qt","2nd","1.34[0.83, 2.17]",0.230881270886362,2908,"model_1","both","inc_dm","norm+preDM"
"sdbpc2_mrs_qt","2nd","1.32[0.83, 2.1]",0.245132415743565,2874,"model_2","both","inc_dm","norm+preDM"
"sex_sdbpc1_mrs_qt","2nd","0.77[0.52, 1.16]",0.211879828201138,2908,"model_1","both","inc_dm","norm+preDM"
"sex_sdbpc1_mrs_qt","2nd","0.79[0.53, 1.17]",0.230657325671091,2874,"model_2","both","inc_dm","norm+preDM"
"sex_sdbpc2_mrs_qt","2nd","1.3[0.83, 2.05]",0.256668760359533,2908,"model_1","both","inc_dm","norm+preDM"
"sex_sdbpc2_mrs_qt","2nd","1.29[0.83, 2.01]",0.251867288905729,2874,"model_2","both","inc_dm","norm+preDM"
"osa_lasso_mrs_qt","2nd","1.85[1.26, 2.74]",0.00187912606113433,2908,"model_1","both","inc_dm","norm+preDM"
"osa_lasso_mrs_qt","2nd","1.89[1.26, 2.81]",0.0018758538231297,2874,"model_2","both","inc_dm","norm+preDM"
"sdbpc1_mrs_qt","3rd","1.3[0.87, 1.95]",0.204409644890196,2908,"model_1","both","inc_dm","norm+preDM"
"sdbpc1_mrs_qt","3rd","1.36[0.91, 2.02]",0.133962696447855,2874,"model_2","both","inc_dm","norm+preDM"
"sdbpc2_mrs_qt","3rd","1.44[0.9, 2.29]",0.125171098356351,2908,"model_1","both","inc_dm","norm+preDM"
"sdbpc2_mrs_qt","3rd","1.46[0.94, 2.28]",0.0940370284411638,2874,"model_2","both","inc_dm","norm+preDM"
"sex_sdbpc1_mrs_qt","3rd","0.99[0.67, 1.46]",0.964863311183353,2908,"model_1","both","inc_dm","norm+preDM"
"sex_sdbpc1_mrs_qt","3rd","1.02[0.7, 1.5]",0.900614427073608,2874,"model_2","both","inc_dm","norm+preDM"
"sex_sdbpc2_mrs_qt","3rd","1.36[0.89, 2.08]",0.152029617546519,2908,"model_1","both","inc_dm","norm+preDM"
"sex_sdbpc2_mrs_qt","3rd","1.36[0.91, 2.05]",0.137623059835023,2874,"model_2","both","inc_dm","norm+preDM"
"osa_lasso_mrs_qt","3rd","2.41[1.57, 3.69]",0.0000558199464034446,2908,"model_1","both","inc_dm","norm+preDM"
"osa_lasso_mrs_qt","3rd","2.39[1.56, 3.66]",0.0000582137945249788,2874,"model_2","both","inc_dm","norm+preDM"
"sdbpc1_mrs_qt","4th","1.71[1.16, 2.52]",0.0071039474308472,2908,"model_1","both","inc_dm","norm+preDM"
"sdbpc1_mrs_qt","4th","1.71[1.16, 2.52]",0.00690452926022966,2874,"model_2","both","inc_dm","norm+preDM"
"sdbpc2_mrs_qt","4th","1.81[1.12, 2.92]",0.0146773675389497,2908,"model_1","both","inc_dm","norm+preDM"
"sdbpc2_mrs_qt","4th","1.82[1.15, 2.9]",0.0110763420989131,2874,"model_2","both","inc_dm","norm+preDM"
"sex_sdbpc1_mrs_qt","4th","1.34[0.94, 1.9]",0.105061157729638,2908,"model_1","both","inc_dm","norm+preDM"
"sex_sdbpc1_mrs_qt","4th","1.34[0.94, 1.89]",0.10495818567695,2874,"model_2","both","inc_dm","norm+preDM"
"sex_sdbpc2_mrs_qt","4th","2.2[1.47, 3.3]",0.000127310734529214,2908,"model_1","both","inc_dm","norm+preDM"
"sex_sdbpc2_mrs_qt","4th","2.17[1.46, 3.21]",0.000113151147928852,2874,"model_2","both","inc_dm","norm+preDM"
"osa_lasso_mrs_qt","4th","3.35[2.3, 4.89]",0.00000000036716040684449,2908,"model_1","both","inc_dm","norm+preDM"
"osa_lasso_mrs_qt","4th","3.26[2.22, 4.79]",0.00000000181429330895301,2874,"model_2","both","inc_dm","norm+preDM"
"sdbpc1_mrs_qt","2nd","1.07[0.61, 1.88]",0.80770167588658,1449,"model_1","female","inc_htn","normal"
"sdbpc1_mrs_qt","2nd","1.08[0.62, 1.87]",0.786396538359316,1436,"model_2","female","inc_htn","normal"
"sdbpc2_mrs_qt","2nd","1[0.62, 1.6]",0.994861510099225,1449,"model_1","female","inc_htn","normal"
"sdbpc2_mrs_qt","2nd","0.96[0.6, 1.54]",0.867570098331771,1436,"model_2","female","inc_htn","normal"
"sex_sdbpc1_mrs_qt","2nd","1.08[0.65, 1.78]",0.775942245446355,1449,"model_1","female","inc_htn","normal"
"sex_sdbpc1_mrs_qt","2nd","1.06[0.64, 1.74]",0.822499012650548,1436,"model_2","female","inc_htn","normal"
"sex_sdbpc2_mrs_qt","2nd","1[0.69, 1.45]",0.989667219671986,1449,"model_1","female","inc_htn","normal"
"sex_sdbpc2_mrs_qt","2nd","1[0.68, 1.46]",0.98207491989309,1436,"model_2","female","inc_htn","normal"
"osa_lasso_mrs_qt","2nd","1.46[0.94, 2.27]",0.0893585641143341,1449,"model_1","female","inc_htn","normal"
"osa_lasso_mrs_qt","2nd","1.41[0.91, 2.19]",0.125736579552179,1436,"model_2","female","inc_htn","normal"
"sdbpc1_mrs_qt","3rd","1.53[0.9, 2.59]",0.114905155789489,1449,"model_1","female","inc_htn","normal"
"sdbpc1_mrs_qt","3rd","1.48[0.87, 2.5]",0.146179767188818,1436,"model_2","female","inc_htn","normal"
"sdbpc2_mrs_qt","3rd","1.12[0.74, 1.69]",0.584839797327601,1449,"model_1","female","inc_htn","normal"
"sdbpc2_mrs_qt","3rd","1.13[0.74, 1.73]",0.578816644593391,1436,"model_2","female","inc_htn","normal"
"sex_sdbpc1_mrs_qt","3rd","1.32[0.8, 2.16]",0.279674125436074,1449,"model_1","female","inc_htn","normal"
"sex_sdbpc1_mrs_qt","3rd","1.27[0.78, 2.06]",0.331062634306538,1436,"model_2","female","inc_htn","normal"
"sex_sdbpc2_mrs_qt","3rd","0.95[0.61, 1.48]",0.806728963358035,1449,"model_1","female","inc_htn","normal"
"sex_sdbpc2_mrs_qt","3rd","0.92[0.58, 1.44]",0.7040489697355,1436,"model_2","female","inc_htn","normal"
"osa_lasso_mrs_qt","3rd","1.54[0.98, 2.41]",0.0620250538735081,1449,"model_1","female","inc_htn","normal"
"osa_lasso_mrs_qt","3rd","1.53[0.97, 2.4]",0.0676312959181183,1436,"model_2","female","inc_htn","normal"
"sdbpc1_mrs_qt","4th","1.45[0.84, 2.5]",0.185057903980231,1449,"model_1","female","inc_htn","normal"
"sdbpc1_mrs_qt","4th","1.44[0.85, 2.46]",0.177480121848151,1436,"model_2","female","inc_htn","normal"
"sdbpc2_mrs_qt","4th","1.35[0.86, 2.12]",0.186118101386587,1449,"model_1","female","inc_htn","normal"
"sdbpc2_mrs_qt","4th","1.37[0.85, 2.2]",0.195622601294238,1436,"model_2","female","inc_htn","normal"
