"chem_id","lib_id","comp_id","chro_lib_entry_id","super_pathway","sub_pathway","pathway_sortorder","type","inchikey","smiles","chemical_name","plot_name","cas","chemspider","hmdb","kegg","pubchem","platform","chemid_x"
"93",305,528,146398,"Energy","TCA Cycle",1446,"NAMED","KPGXRSRHYNQIFN-UHFFFAOYAN","O=C(C(O)=O)CCC(O)=O","alpha-ketoglutarate","alpha-ketoglutarate","328-50-7,22202-68-2,305-72-6","50","HMDB0000208","C00026","51","Polar","X93"
"112",305,531,146400,"Lipid","Mevalonate Metabolism",3176,"NAMED","NPOAOTPXWNWTSH-NUQVWONBAH","CC(CC(O)=O)(CC(O)=O)O","3-hydroxy-3-methylglutarate","3-hydroxy-3-methylglutarate","503-49-1","4573695","HMDB0000355","C03761","1662,5459993","Polar","X112"
"1002",305,1107,146424,"Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",4134,"NAMED","POJWUDADGALRAB-UHFFFAOYAE","O=C(N1)C(NC(N)=O)NC1=O","allantoin","allantoin","97-59-6","199","HMDB0000462","C02348,C01551,C02350","439714,204,439713","Polar","X1002"
"100000987",209,32506,125864,"Lipid","Monoacylglycerol",2873,"NAMED","IEPGNWMPIFDNSD-HZJYTTRNBY","O=C(OC(CO)CO)CCCCCCC/C=C\C/C=C\CCCCC","2-linoleoylglycerol (18:2)","2-linoleoylglycerol (18:2)","3443-82-1","4517636","HMDB0011538",NA,"5365676","Neg","X100000987"
"100001040",209,27447,126071,"Lipid","Monoacylglycerol",2857,"NAMED","WECGLUPZRHILCT-HZJYTTRNBQ","CCCCC/C=C\C/C=C\CCCCCCCC(OCC(O)CO)=O","1-linoleoylglycerol (18:2)","1-linoleoylglycerol (18:2)","2277-28-3","4446589","HMDB0011568",NA,"5283469","Neg","X100001040"
"100001150",209,31932,143851,"Lipid","Fatty Acid Metabolism (also BCAA Metabolism)",1773,"NAMED","WOMAZEJKVZLLFE-UHFFFAOYAY","O=C(CC)NCC(O)=O","propionylglycine","propionylglycine (C3)","21709-90-0","89122","HMDB0000783",NA,"98681","Neg","X100001150"
"100001250",209,33983,126892,"Lipid","Primary Bile Acid Metabolism",3467,"NAMED","XSOLDPYUICCHJX-OEYGYFRSBZ","O=S(CCNC(CC[C@@H](C)[C@@]1([H])CCC2C3[C@@H](O)[C@@H](O)[C@]4([H])C[C@H](O)CC[C@]4(C)C3CC[C@]12C)=O)(O)=O","tauro-beta-muricholate","tauro-beta-muricholate","25696-60-0","147312","HMDB0000932",NA,"121596216,21124703,168408","Neg","X100001250"
"100001272",402,48258,160285,"Lipid","Lysophospholipid",2614,"NAMED","YAMUFBLWGFFICM-PTGWMXDIBX","O[C@H](COC(CCCCCCC/C=C\CCCCCCCC)=O)COP(OCC[N+](C)(C)C)([O-])=O","1-oleoyl-GPC (18:1)","1-oleoyl-GPC (18:1)","19420-56-5","17240641","HMDB0002815","C03916","16081932","Pos Late","X100001272"
"100001869",402,42450,164205,"Lipid","Phosphatidylcholine (PC)",2334,"NAMED","PSVRFUPOQYJOOZ-QNPWAGBNBV","C[N+](C)(CCOP([O-])(OC[C@@]([H])(COC(CCCCCCCCCCCCCCCCC)=O)OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)=O)C","1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)","1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)","35418-59-8","17347139","HMDB0008048",NA,"16219824","Pos Late","X100001869"
"100001988",209,37198,144254,"Lipid","Progestin Steroids",3281,"NAMED",NA,"C[C@@]12[C@](CCC3C2CC[C@@]4(C)C3CCC4C(OS(=O)(O)=O)C)([H])C[C@@H](OS(=O)(O)=O)CC1","5alpha-pregnan-3beta,20alpha-diol disulfate","5alpha-pregnan-3beta,20alpha-diol disulfate",NA,NA,"HMDB0094650",NA,"118703093","Neg","X100001988"
