"chemical_name","beta","se","n","p_val","p_val_fdr","is_continuous","model","strata","trait","super_pathway","sub_pathway"
"carnitine",-0.00767103562315838,0.0260009484531027,1402,0.767971673437641,0.914027635870567,"Continuous","model_2","Male","sdb_pc1","Lipid","Carnitine Metabolism"
"carnitine",0.0666588689523288,0.0314264836451748,1347,0.0339129743501229,0.699048977278056,"Continuous","model_3","Male","sdb_pc2","Lipid","Carnitine Metabolism"
"carnitine",0.0579660355680111,0.0308975450819631,1425,0.0606453211531674,0.5267996553902,"Continuous","model_1","Male","sdb_pc2","Lipid","Carnitine Metabolism"
"carnitine",0.00404035324544022,0.0255357489719772,1425,0.874280758632781,0.951525430229941,"Continuous","model_1","Male","sdb_pc1","Lipid","Carnitine Metabolism"
"carnitine",-0.0364493145891404,0.0225332673310766,1874,0.105753601334407,0.591146794582077,"Continuous","model_1","Female","sdb_pc1","Lipid","Carnitine Metabolism"
"carnitine",-0.0168914900033428,0.0186413507230447,3299,0.36486696658702,0.744873288554789,"Continuous","model_1","both","sdb_pc1","Lipid","Carnitine Metabolism"
"carnitine",-0.0334685322663454,0.023213242880621,1854,0.149362708981697,0.607449602926061,"Continuous","model_2","Female","sdb_pc1","Lipid","Carnitine Metabolism"
"carnitine",-0.0303438283490949,0.0192647212052133,3182,0.115233771631122,0.595605186764974,"Continuous","model_3","both","sdb_pc1","Lipid","Carnitine Metabolism"
"carnitine",0.0413955007969432,0.0221720951913804,3256,0.0619003340238507,0.363898933352335,"Continuous","model_2","both","sdb_pc2","Lipid","Carnitine Metabolism"
"carnitine",-0.0152892557062796,0.0273032231488059,1347,0.575493159364427,0.824759567297419,"Continuous","model_3","Male","sdb_pc1","Lipid","Carnitine Metabolism"
"carnitine",0.0379864524172677,0.035620907320588,1874,0.286238842441134,0.768960859152539,"Continuous","model_1","Female","sdb_pc2","Lipid","Carnitine Metabolism"
"carnitine",0.0383911426704665,0.035036079118908,1835,0.273183709973481,0.924337816992051,"Continuous","model_3","Female","sdb_pc2","Lipid","Carnitine Metabolism"
"carnitine",0.0430663001581729,0.0225772029471122,3299,0.0564542348845799,0.328253293354559,"Continuous","model_1","both","sdb_pc2","Lipid","Carnitine Metabolism"
"carnitine",0.0503176319165946,0.0229571727555892,3182,0.0283936343505055,0.538199471082186,"Continuous","model_3","both","sdb_pc2","Lipid","Carnitine Metabolism"
"carnitine",-0.0452071584256107,0.0228467018643454,1835,0.0478478726653033,0.43311807233617,"Continuous","model_3","Female","sdb_pc1","Lipid","Carnitine Metabolism"
"carnitine",-0.0205909745281488,0.0188952113169536,3256,0.275825196737669,0.672607989346684,"Continuous","model_2","both","sdb_pc1","Lipid","Carnitine Metabolism"
"carnitine",0.0576714820254306,0.030929280136893,1402,0.0622341083239058,0.574924619754177,"Continuous","model_2","Male","sdb_pc2","Lipid","Carnitine Metabolism"
"carnitine",0.0265902167343536,0.0344996130783589,1854,0.440861316141793,0.885158743090232,"Continuous","model_2","Female","sdb_pc2","Lipid","Carnitine Metabolism"
"phenylacetate",-0.0057986638677132,0.0279105341338124,1425,0.835417169490637,0.944702903321148,"Continuous","model_1","Male","sdb_pc2","Amino Acid","Phenylalanine Metabolism"
