"chemical_name","beta","se","n","p_val","p_val_fdr","is_continuous","model","strata","trait","super_pathway","sub_pathway"
"carnitine",0.096524504469624,0.0536215567753785,550,0.0718438482491397,0.363592345052168,"Continuous","model_2","Male","sdb_pc1","Lipid","Carnitine Metabolism"
"carnitine",0.0314233927827449,0.0513583128510606,524,0.540639465112355,0.834621137123052,"Continuous","model_3","Male","sdb_pc2","Lipid","Carnitine Metabolism"
"carnitine",0.00701678941460039,0.049142795371556,562,0.886461022528228,0.957798654055533,"Continuous","model_1","Male","sdb_pc2","Lipid","Carnitine Metabolism"
"carnitine",0.0911413678924958,0.0526848080238457,562,0.0836416363673699,0.412537562422113,"Continuous","model_1","Male","sdb_pc1","Lipid","Carnitine Metabolism"
"carnitine",0.0273236230757626,0.0377917509596548,960,0.469676842049772,0.814254866054242,"Continuous","model_1","Female","sdb_pc1","Lipid","Carnitine Metabolism"
"carnitine",0.0602354941070432,0.0323066648862404,1522,0.0622527487328028,0.339832482980352,"Continuous","model_1","both","sdb_pc1","Lipid","Carnitine Metabolism"
"carnitine",0.0199069331533541,0.0378891901517228,950,0.599306022136823,0.858479696878067,"Continuous","model_2","Female","sdb_pc1","Lipid","Carnitine Metabolism"
"carnitine",0.0677885758559668,0.0318527948098834,1457,0.0333219152170551,0.524144720441245,"Continuous","model_3","both","sdb_pc1","Lipid","Carnitine Metabolism"
"carnitine",0.0175294262981024,0.036495451778046,1500,0.631001215805763,0.851318638523314,"Continuous","model_2","both","sdb_pc2","Lipid","Carnitine Metabolism"
"carnitine",0.10468206220062,0.0538757571448215,524,0.0520128705232142,0.465715240684779,"Continuous","model_3","Male","sdb_pc1","Lipid","Carnitine Metabolism"
"carnitine",0.0384070359121224,0.0519626289291051,960,0.459829253522654,0.695378945983876,"Continuous","model_1","Female","sdb_pc2","Lipid","Carnitine Metabolism"
"carnitine",0.02504458942706,0.0470179835505534,933,0.594269102804689,0.806211230378389,"Continuous","model_3","Female","sdb_pc2","Lipid","Carnitine Metabolism"
"carnitine",0.0155281643216957,0.0362669302581815,1522,0.668532318397397,0.874619604089295,"Continuous","model_1","both","sdb_pc2","Lipid","Carnitine Metabolism"
"carnitine",0.0204399081537058,0.034270311208326,1457,0.550886709267648,0.843348583864321,"Continuous","model_3","both","sdb_pc2","Lipid","Carnitine Metabolism"
"carnitine",0.0307270046533836,0.0373478838013585,933,0.410664898533579,0.818517023789532,"Continuous","model_3","Female","sdb_pc1","Lipid","Carnitine Metabolism"
"carnitine",0.0537721562600313,0.0338360080260722,1500,0.112015431219862,0.383488123352704,"Continuous","model_2","both","sdb_pc1","Lipid","Carnitine Metabolism"
"carnitine",-0.00122542062940439,0.049648321406704,550,0.98030860040928,0.996017964590042,"Continuous","model_2","Male","sdb_pc2","Lipid","Carnitine Metabolism"
"carnitine",0.0428527859637626,0.0508337233971776,950,0.399228915341869,0.65821877826903,"Continuous","model_2","Female","sdb_pc2","Lipid","Carnitine Metabolism"
"phenylacetate",-0.045884290325555,0.047374006908049,562,0.33276769612218,0.68670401910293,"Continuous","model_1","Male","sdb_pc2","Amino Acid","Phenylalanine Metabolism"
"phenylacetate",-0.0617542159408032,0.0287261474189361,1522,0.0315744977568612,0.240829675706226,"Continuous","model_1","both","sdb_pc1","Amino Acid","Phenylalanine Metabolism"
"phenylacetate",-0.0789698597258356,0.0395003938338856,950,0.0455848776060935,0.370513211731802,"Continuous","model_2","Female","sdb_pc1","Amino Acid","Phenylalanine Metabolism"
"phenylacetate",-0.0462053983165122,0.0283934765403266,1457,0.103668209827082,0.627886463748896,"Continuous","model_3","both","sdb_pc1","Amino Acid","Phenylalanine Metabolism"
"phenylacetate",-0.0467626324590909,0.043962057274963,562,0.28746264396241,0.623528221899912,"Continuous","model_1","Male","sdb_pc1","Amino Acid","Phenylalanine Metabolism"
"phenylacetate",-0.0537566829654019,0.0434530020879955,524,0.21604163861828,0.661769650925469,"Continuous","model_3","Male","sdb_pc2","Amino Acid","Phenylalanine Metabolism"
