"chemid_x","n","trait_beta","trait_se","trait_p_val","trait_p_val_fdr","stratifier_beta","stratifier_se","stratifier_p_val","cross_beta","cross_se","cross_p_val","cross_term","sig_fdr","is_continuous","trait","cross_p_val_fdr","cross_fdr_sig","chemical_name","super_pathway","sub_pathway","hmdb"
"X100001250",3299,0.0745206406423477,0.056,0.186974281213622,0.186974281213622,0.678792970715476,0.055,0,-0.2648617782022,0.081,0.00112601044312142,"X100020015:GENDERMale","Not Sig","Dichotomized","sdb_pc1",0.013512125317457,"FDR<0.05","tauro-beta-muricholate","Lipid","Primary Bile Acid Metabolism","HMDB0000932"
"X100001988",3299,-0.0982293632282476,0.022,0.0000067299006722201,0.000038294933482273,0.508828793057232,0.036,0,0.0259254293687858,0.044,0.554753473436398,"X100021991:GENDERMale","FDR<0.05","Continuous","sdb_pc1",0.739671297915197,"Not Sig","5alpha-pregnan-3beta,20alpha-diol disulfate","Lipid","Progestin Steroids","HMDB0094650"
"X100002009",3299,-0.0999482848367601,0.023,0.00000957373337056826,0.000038294933482273,0.504354683431517,0.036,0,0.0161162284874673,0.045,0.719434401607143,"X100021991:GENDERMale","FDR<0.05","Continuous","sdb_pc1",0.777979819882494,"Not Sig","5alpha-pregnan-3beta,20beta-diol monosulfate (1)","Lipid","Progestin Steroids","HMDB0240580"
"X100002014",3299,-0.10031878030451,0.022,0.00000317575108548055,0.0000381090130257666,0.501043190786128,0.037,0,-0.0169489194024866,0.043,0.695061824113167,"X100021991:GENDERMale","FDR<0.05","Continuous","sdb_pc1",0.777979819882494,"Not Sig","5alpha-pregnan-3beta,20alpha-diol monosulfate (2)","Lipid","Progestin Steroids",NA
"X100002015",3299,-0.220328089143247,0.055,0.0000548276932204597,0.000131586463729103,0.422264915307166,0.06,0,0.17568082359525,0.074,0.0170420468879538,"X100020015:GENDERMale","FDR<0.05","Dichotomized","sdb_pc1",0.102252281327723,"Not Sig","5alpha-pregnan-diol disulfate","Lipid","Progestin Steroids","HMDB0240581,HMDB0240582"
"X100002067",3299,-0.117127207986779,0.027,0.000016055926838004,0.000048167780514012,0.628328928814415,0.044,0,0.0100972132605924,0.036,0.777979819882494,"X100021991:GENDERMale","FDR<0.05","Continuous","sdb_pc1",0.777979819882494,"Not Sig","pregnenediol sulfate (C21H34O5S)*","Lipid","Pregnenolone Steroids","HMDB0000774"
"X100006173",3299,-0.17208185950659,0.056,0.00201958174260731,0.00346214013018397,0.494939389010873,0.058,0,0.0696883778103443,0.075,0.35002797703291,"X100020015:GENDERMale","FDR<0.05","Dichotomized","sdb_pc1",0.600047960627846,"Not Sig","pregnanolone/allopregnanolone sulfate","Lipid","Progestin Steroids","HMDB0240591,HMDB0062782"
"X100008952",3299,0.0783530507254855,0.027,0.00387078744198349,0.00516104992264466,0.539000765407915,0.035,0,-0.0266575781741418,0.036,0.464825388660232,"X100021991:GENDERMale","FDR<0.05","Continuous","sdb_pc1",0.697238082990349,"Not Sig","1-palmitoleoylglycerol (16:1)*","Lipid","Monoacylglycerol","HMDB0011565"
"X100020015",3299,0.17549047089381,0.058,0.00263467356307038,0.00395201034460556,0.573407015925676,0.044,0,-0.10937514942197,0.086,0.205986759913362,"X100020015:GENDERMale","FDR<0.05","Dichotomized","sdb_pc1",0.411973519826724,"Not Sig","glucuronide of C10H18O2 (8)*","Partially Characterized Molecules","Partially Characterized Molecules",NA
"X100021990",3299,-0.0682607660296385,0.027,0.0119761890131876,0.0130649334689319,0.558027759340174,0.037,0,0.0694227943120564,0.04,0.0861458538925451,"X100021991:GENDERMale","FDR<0.05","Continuous","sdb_pc1",0.206750049342108,"Not Sig","3-hydroxyoctanoylcarnitine (1)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",NA
