metabolite,sdbpc1_both_coeff,sdbpc2_both_coeff,sdbpc1_female_coeff,sdbpc2_female_coeff,sdbpc1_male_coeff,sdbpc2_male_coeff,chemical_name
X100000007,0,0,-0.011142039,0,0,0,carnitine
X100000011,-0.005764618,0,0,0,0,0,phenylacetate
X100000015,0,-0.016170083,0,0,0,0,xanthurenate
X100000036,0,0,0,0,0,0,3-methyl-2-oxovalerate
X100000039,0,0,0,0,0,0,methionine sulfoxide
X100000042,0,0,0,0,0,0,3-methylhistidine
X100000054,0.015521138,0.002453182,0.033322782,0,0,0,5-hydroxylysine
X100000096,0,0,0,0,0,0,4-guanidinobutanoate
X100000257,0,0.012284364,0,0,0.018407869,0.01866067,glucuronate
X100000258,0,0,0,0,0,0,glycerol 3-phosphate
X100000263,-0.016673161,0,-0.015819248,0,0,0,imidazole lactate
X100000265,-0.008427505,0,0,0,-0.014487178,0,kynurenine
X100000269,0,0,0,0,0,0,glycerophosphorylcholine (GPC)
X100000282,0,0,0,0,0,0,N-acetylglutamate
X100000463,0,0,0,0,-0.018662102,0,indolelactate
X100000467,0,0,0,0,0,0,3-indoxyl sulfate
X100000487,0,0.003073578,0,0,0,0,glycylvaline
X100000491,0,0,0,0,0,0,gamma-glutamylphenylalanine
X100000551,0,0,0,0,0,0,4-methyl-2-oxopentanoate
X100000580,-0.018234068,0,-0.035543577,0,0,0,"1,5-anhydroglucitol (1,5-AG)"
X100000616,0.005559006,0.004131041,0,0,0.019484538,0,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)
X100000626,0.005883511,0,0,0,0,0,sphingosine 1-phosphate
X100000656,0,0,0.010573331,0,0,0,1-stearoyl-GPI (18:0)
X100000657,-0.01963725,0,-0.035366373,0,0,0,"1,2-dipalmitoyl-GPC (16:0/16:0)"
X100000665,0,0,0,0,0,0,docosahexaenoate (DHA; 22:6n3)
X100000706,0,0,0,0,-0.013071686,0,alpha-hydroxyisocaproate
X100000743,0,0,0,0,0,0,2-hydroxyoctanoate
X100000773,0,0,0,0,0,0,3-hydroxyoctanoate
X100000774,0,0,0,0,0,0,phenyllactate (PLA)
X100000776,0,0,0,0,0,0,palmitoylcarnitine (C16)
X100000781,0,0,0,0,0,0,hexanoylcarnitine (C6)
X100000792,0,0,0,0,0,0,dehydroepiandrosterone sulfate (DHEA-S)
X100000802,0,0,0,0,0,0,acetylcarnitine (C2)
X100000808,0,0,0,0,0,0,cysteine s-sulfate
X100000827,0.007163795,0,0,0,0.000566107,0,1-palmitoylglycerol (16:0)
X100000841,-0.00086975,0,0,0,0,0,oxalate (ethanedioate)
X100000924,0,0,0,0,0,0,1-oleoylglycerol (18:1)
X100000936,0,0,0,0,0,0,3-methyl-2-oxobutyrate
X100000961,0,0,0,0,0.020278751,0,homoarginine
X100000963,0,0,0,0,0,0,homocitrulline
X100000987,0.006554155,0,0,0,0,0,2-linoleoylglycerol (18:2)
X100000997,0,0,0,0,0,0,3-hydroxydecanoate
X100001006,-0.002397146,0,0,0,0,0,N-acetylglycine
X100001022,0,0,0,0,0,0,threonate
X100001034,0,0,0,0,0,0,indoleacetate
X100001040,0,0,0.023437615,0,0,0,1-linoleoylglycerol (18:2)
X100001051,0,0,0,0,0,0,1-methylhistidine
X100001054,0,0.025594264,-0.00174057,0,0,0,butyrylcarnitine (C4)
X100001055,0,0,0,0,0,0,isobutyrylcarnitine (C4)
X100001073,0,0,0,0,0,0,androsterone sulfate
X100001083,-0.000962218,0,0,0,-0.00690441,0,indolepropionate
X100001092,0,0,0,0,0,0,trigonelline (N'-methylnicotinate)
X100001102,0,0,0,0,0,0,dodecanedioate (C12-DC)
X100001112,0,0,0,0,0,0,3-hydroxylaurate
X100001121,0,0,0,0,0,0,pyridoxate
X100001125,0,0,0,0,0,0,threonylphenylalanine
X100001126,0,0.008159584,0,0,0,0,gamma-glutamylvaline
X100001145,0,0,0,0,0,0,3-hydroxysebacate
X100001150,-0.017965689,0,-0.031328348,0,0,0,propionylglycine
X100001162,0,0,0,0,0,0,propionylcarnitine (C3)
X100001167,0,0,0,0,0,0,pro-hydroxy-pro
X100001170,0,0,0,0,0,0,3-hydroxy-2-ethylpropionate
X100001178,0.006425358,-0.022514604,0.006071292,0,0,-0.015500463,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)
X100001181,0,0,0,0,0,0,docosapentaenoate (n3 DPA; 22:5n3)
X100001182,0,0,0,0,0,0,docosadienoate (22:2n6)
X100001193,0,0,0,0,0,0,adrenate (22:4n6)
X100001197,0.026829582,0,0.015059819,0,0,0,10-undecenoate (11:1n1)
X100001208,0,0,0,0,0,0,1-methyl-4-imidazoleacetate
X100001229,0,0,0,0,0,0,stearidonate (18:4n3)
X100001232,0,0,0,0,0,0,5-dodecenoate (12:1n7)
X100001247,0,0,-0.001499047,0,0,0,octanoylcarnitine (C8)
X100001251,0,0,-0.008589712,0,0,0,decanoylcarnitine (C10)
X100001253,0,0,0,0,0,0,N-acetylglutamine
X100001256,0,0,0,0,0,0,N-acetylphenylalanine
X100001257,0,0,0,0,0,0,N-acetylasparagine
X100001262,0.013743604,0,0.003304859,0,0,0,gamma-glutamyl-epsilon-lysine
X100001263,0,0,0,0,0,0,1-palmitoyl-GPC (16:0)
X100001266,0,0,0,0,0,0,N-acetylarginine
X100001271,0,0,0,0,0,0,1-stearoyl-GPC (18:0)
X100001272,0,0,0,0,-0.001881243,0,1-oleoyl-GPC (18:1)
X100001274,-0.000274777,0,0,0,0,0,N-acetylthreonine
X100001277,0,0,0,0,0,0,10-nonadecenoate (19:1n9)
X100001278,0,0,0,0,0,0,10-heptadecenoate (17:1n7)
X100001287,0,0,0,0,0,0,epiandrosterone sulfate
X100001294,0,0,0,0,0,0,gamma-glutamylglycine
X100001295,0,0,0,0,0,0,gamma-glutamyltryptophan
X100001300,0,0,0,0,0,0,alpha-hydroxyisovalerate
