"var","mean","sd","dataset"
"sdbpc1_mrs",0.00409599858529097,0.189847317119632,"batch_1"
"sdbpc2_mrs",-0.00103681147503159,0.130725494068099,"batch_1"
"osa_lasso_mrs",0.00420281194662771,0.241689365632653,"batch_1"
"female_sdbpc1_mrs",0.0102079519446688,0.176947560745806,"batch_1"
"male_sdbpc1_mrs",-0.0488548967155157,0.170969148504985,"batch_1"
"female_sdbpc2_mrs",-0.0174935320913331,0.0586139859789526,"batch_1"
"male_sdbpc2_mrs",-0.00953289394043049,0.062954227609419,"batch_1"
"sdbpc1_mrs",0.000532813286060585,0.179949355550843,"batch_2"
"sdbpc2_mrs",-0.000814702666212444,0.121789598759111,"batch_2"
"osa_lasso_mrs",0.00795652353550989,0.246836936388881,"batch_2"
"female_sdbpc1_mrs",-0.00137762774284504,0.171623801021192,"batch_2"
"male_sdbpc1_mrs",0.0024159725495145,0.15992185810237,"batch_2"
"female_sdbpc2_mrs",-0.00067926840483236,0.0603514376683828,"batch_2"
"male_sdbpc2_mrs",0.000476830853151562,0.0586769395614946,"batch_2"
