"","Female","Male","p","test"
"n","648.34","516.04","",""
"AGE (mean (SD))"," 51.89 (12.31)"," 51.18 (13.73)"," 0.49",""
"GENDER = Male (%)","   0.0 ( 0.0) "," 516.0 (100.0) ","<0.01",""
"background (%)"," "," "," 0.26",""
"   Dominican","  97.4 (15.0) ","  51.0 (  9.9) ","",""
"   Central_American","  44.7 ( 6.9) ","  29.9 (  5.8) ","",""
"   Cuban"," 176.7 (27.2) "," 162.2 ( 31.4) ","",""
"   Mexican"," 181.8 (28.0) "," 148.3 ( 28.7) ","",""
"   Puerto_Rican","  99.1 (15.3) ","  95.4 ( 18.5) ","",""
"   South American","  38.2 ( 5.9) ","  24.9 (  4.8) ","",""
"   Multi","  10.6 ( 1.6) ","   4.3 (  0.8) ","",""
"BMI (mean (SD))"," 30.22 (5.96)"," 28.68 (5.04)","<0.01",""
"ALCOHOL_USE (%)"," "," ","<0.01",""
"   never"," 224.8 (34.7) ","  74.2 ( 14.4) ","",""
"   former"," 213.8 (33.0) "," 155.0 ( 30.0) ","",""
"   current"," 209.3 (32.3) "," 286.8 ( 55.6) ","",""
"CIGARETTE_USE (%)"," "," ","<0.01",""
"   never"," 446.8 (68.9) "," 233.9 ( 45.4) ","",""
"   former"," 106.3 (16.4) "," 162.8 ( 31.6) ","",""
"   current","  95.1 (14.7) "," 118.7 ( 23.0) ","",""
"GPAQ_TOTAL_MET (mean (SD))","331.97 (595.88)","798.99 (1208.27)","<0.01",""
"AHEI2010 (mean (SD))"," 48.31 (7.03)"," 50.07 (7.42)","<0.01",""
"OSA_status = OSA (%)","   3.2 ( 0.5) ","   0.0 (  0.0) "," 0.19",""
"REI3 (mean (SD))","  5.59 (10.28)"," 10.03 (15.17)","<0.01",""
"REI0 (mean (SD))"," 18.87 (17.42)"," 26.05 (21.76)","<0.01",""
"event_length_sec (mean (SD))"," 18.47 (4.71)"," 21.06 (5.31)","<0.01",""
"SLPA97 (mean (SD))","  0.67 (2.26)","  1.48 (4.13)","<0.01",""
"Per90_status = Hypoxia (%)","  21.2 ( 3.3) ","  43.2 (  8.4) ","<0.01",""
"hypoxicburden_harmonized (mean (SD))"," 20.41 (30.99)"," 33.59 (47.14)","<0.01",""
"SLPA91 (mean (SD))"," 86.93 (6.11)"," 85.38 (6.80)","<0.01",""
"SLPA92 (mean (SD))"," 96.43 (0.82)"," 96.19 (1.01)","<0.01",""
"baseline_dm = Yes (%)"," 164.8 (25.4) "," 163.8 ( 31.8) "," 0.05",""
"baseline_htn = Yes (%)"," 285.5 (44.0) "," 219.0 ( 42.4) "," 0.65",""
"incident_dm = Yes (%)","  74.8 (11.7) ","  60.4 ( 12.0) "," 0.90",""
"incident_htn = Yes (%)","  81.9 (12.6) ","  83.5 ( 16.2) "," 0.17",""
"LABA67 (mean (SD))","135.03 (72.51)","181.31 (331.72)"," 0.01",""
"LABA68 (mean (SD))"," 52.15 (12.24)"," 44.77 (11.20)","<0.01",""
"LABA69 (mean (SD))","126.35 (36.06)","122.50 (36.95)"," 0.15",""
"LABA70 (mean (SD))","105.66 (39.89)","120.58 (56.54)","<0.01",""
"INSULIN_FAST (mean (SD))"," 13.26 (9.94)"," 12.48 (9.19)"," 0.20",""
"HOMA_IR (mean (SD))","  3.66 (3.83)","  3.78 (3.44)"," 0.62",""
"LABA66 (mean (SD))","205.41 (41.32)","200.47 (46.69)"," 0.14",""
"SBPA5 (mean (SD))","125.15 (20.20)","128.51 (16.48)"," 0.01",""
"SBPA6 (mean (SD))"," 73.37 (11.22)"," 75.02 (10.96)"," 0.04",""
