"","Overall","Missing"
"n","  1522","   "
"Age at baseline (mean (SD))"," 53.09 (10.67)","0.0"
"Gender = Male (%)","   562 (36.9) ","0.0"
"Hispanic/Latino background (%)","   ","0.0"
"   Dominican","   189 (12.4) ","   "
"   Central_American","   161 (10.6) ","   "
"   Cuban","   274 (18.0) ","   "
"   Mexican","   498 (32.7) ","   "
"   Puerto_Rican","   267 (17.5) ","   "
"   South American","   114 ( 7.5) ","   "
"   Multi","    19 ( 1.2) ","   "
"BMI (mean (SD))"," 30.05 (5.95)","0.0"
"Alcohol drinking status (%)","   ","0.1"
"   never","   371 (24.4) ","   "
"   former","   496 (32.6) ","   "
"   current","   653 (43.0) ","   "
"Smoking status (%)","   ","0.2"
"   never","   871 (57.3) ","   "
"   former","   361 (23.8) ","   "
"   current","   287 (18.9) ","   "
"Physical activity (MET-min/day) (mean (SD))","513.75 (889.46)","0.2"
"The Alternate Healthy Eating Index (2010) (mean (SD))"," 50.13 (7.35)","1.1"
"OSA status = OSA (%)","     3 ( 0.2) ","0.0"
"Respiratory Event Index (3% desat) (events/hr) (mean (SD))","  7.65 (12.38)","0.0"
"Respiratory Event Index (all desat) (events/hr) (mean (SD))"," 22.93 (19.31)","0.0"
"Average length of each respiratory event (seconds) (mean (SD))"," 19.51 (4.77)","0.0"
"Percentage sleep time with SpO2<90% (mean (SD))","  0.95 (2.97)","0.0"
"Hypoxia Status(>=5% sleep <90% saturation) = Hypoxia (%)","    68 ( 4.5) ","0.0"
"Hypoxic burden (%minute/hour) (mean (SD))"," 26.17 (37.32)","0.0"
"Minimum SpO2% (mean (SD))"," 86.04 (6.41)","0.0"
"Average SpO2% (mean (SD))"," 96.34 (0.90)","0.0"
"Baseline Diabetes status (ADA) = Yes (%)","   458 (30.1) ","0.1"
"Baseline Hypertension status = Yes (%)","   695 (45.7) ","0.0"
"Incident Diabetes status (ADA) = Yes (%)","   198 (13.4) ","2.6"
"Incident Hypertension status = Yes (%)","   222 (14.6) ","0.0"
"Triglycerides (mg/dL) (mean (SD))","152.71 (191.55)","0.0"
"HDL(mg/dL) (mean (SD))"," 49.65 (12.82)","0.0"
"LDL(mg/dL) (mean (SD))","125.42 (36.72)","2.3"
"Fasting glucose (mg/dL) (mean (SD))","112.94 (48.85)","0.3"
"Fasting insulin (mU/L) (mean (SD))"," 13.32 (10.69)","0.5"
"HOMA_IR (mean (SD))","  3.84 (4.00)","0.5"
"TTotal cholesterol (mg/dL) (mean (SD))","204.40 (43.47)","0.0"
"Systolic Blood Pressure(mm Hg) (mean (SD))","127.10 (19.10)","0.1"
"Diastolic Blood Pressure(mm Hg) (mean (SD))"," 74.49 (11.25)","0.1"
