"","0","1","p","test","Missing"
"n"," 10487","  1166","","","    "
"AGE (mean (SD))"," 47.87 (13.06)"," 32.42 (12.07)","<0.001",""," 0.0"
"GENDER = Male (%)","  4495 (42.9) ","   301 (25.8) ","<0.001",""," 0.0"
"background (%)","  ","   ","<0.001",""," 0.5"
"   Dominican","   956 ( 9.1) ","   135 (11.6) ","","","    "
"   Central_American","  1108 (10.6) ","   118 (10.1) ","","","    "
"   Cuban","  1518 (14.5) ","   137 (11.8) ","","","    "
"   Mexican","  4107 (39.2) ","   479 (41.2) ","","","    "
"   Puerto_Rican","  1791 (17.1) ","   171 (14.7) ","","","    "
"   South American","   698 ( 6.7) ","    66 ( 5.7) ","","","    "
"   Multi","   286 ( 2.7) ","    58 ( 5.0) ","","","    "
"BMI (mean (SD))"," 30.14 (5.99)"," 27.07 (5.50)","<0.001",""," 0.4"
"ALCOHOL_USE (%)","  ","   "," 0.068",""," 0.4"
"   never","  1965 (18.8) ","   221 (19.0) ","","","    "
"   former","  3516 (33.6) ","   353 (30.3) ","","","    "
"   current","  4998 (47.7) ","   591 (50.7) ","","","    "
"CIGARETTE_USE (%)","  ","   ","<0.001",""," 0.6"
"   never","  6183 (59.1) ","   848 (72.8) ","","","    "
"   former","  2288 (21.9) ","   109 ( 9.4) ","","","    "
"   current","  1998 (19.1) ","   208 (17.9) ","","","    "
"GPAQ_TOTAL_MET (mean (SD))","628.05 (992.14)","657.20 (992.29)"," 0.343",""," 0.9"
"AHEI2010 (mean (SD))"," 49.48 (7.57)"," 45.37 (6.67)","<0.001",""," 1.5"
"OSA_status = OSA (%)","    12 ( 0.1) ","     0 ( 0.0) "," 0.500","","11.9"
"REI3 (mean (SD))","  7.30 (12.71)","  0.07 (0.15)","<0.001","","11.9"
"REI0 (mean (SD))"," 21.15 (19.11)","  1.96 (1.63)","<0.001","","11.9"
"event_length_sec (mean (SD))"," 19.20 (4.25)"," 15.72 (4.83)","<0.001","","13.3"
"SLPA97 (mean (SD))","  0.96 (3.29)","  0.00 (0.04)","<0.001","","11.6"
"Per90_status = Hypoxia (%)","   476 ( 4.5) ","     0 ( 0.0) ","<0.001","","11.6"
"hypoxicburden_harmonized (mean (SD))"," 24.76 (38.93)","  1.11 (1.07)","<0.001","","29.0"
"SLPA91 (mean (SD))"," 86.38 (6.15)"," 92.03 (1.53)","<0.001","","11.6"
"SLPA92 (mean (SD))"," 96.36 (0.97)"," 97.07 (0.30)","<0.001","","11.6"
"baseline_dm = Yes (%)","  2331 (22.2) ","    86 ( 7.4) ","<0.001",""," 0.1"
"baseline_htn = Yes (%)","  3525 (33.6) ","   100 ( 8.6) ","<0.001",""," 0.0"
"incident_dm = Yes (%)","  1046 (13.6) ","    46 ( 6.3) ","<0.001","","29.3"
"incident_htn = Yes (%)","  1067 (10.2) ","    56 ( 4.8) ","<0.001",""," 0.0"
"LABA67 (mean (SD))","144.84 (136.72)","108.25 (103.61)","<0.001",""," 1.0"
"LABA68 (mean (SD))"," 48.80 (12.98)"," 51.05 (12.69)","<0.001",""," 1.0"
"LABA69 (mean (SD))","124.49 (36.55)","111.31 (34.44)","<0.001",""," 3.0"
"LABA70 (mean (SD))","105.81 (37.11)"," 95.17 (25.65)","<0.001",""," 1.2"
"INSULIN_FAST (mean (SD))"," 13.61 (13.31)"," 10.91 (8.14)","<0.001",""," 1.5"
"HOMA_IR (mean (SD))","  3.70 (4.49)","  2.65 (2.79)","<0.001",""," 1.5"
"LABA66 (mean (SD))","201.68 (44.06)","183.54 (41.42)","<0.001",""," 1.0"
"SBPA5 (mean (SD))","123.25 (17.93)","111.99 (14.18)","<0.001",""," 0.1"
"SBPA6 (mean (SD))"," 73.74 (10.95)"," 67.76 (9.36)","<0.001",""," 0.1"
"WHIIRS (mean (SD))","  7.16 (5.40)","  6.49 (5.28)","<0.001",""," 3.4"
"restless = Yes (%)","  2008 (21.6) ","   208 (20.7) "," 0.555","","12.2"
"pill = Yes (%)","   779 ( 7.5) ","    52 ( 4.5) ","<0.001",""," 2.0"
"backtosleep = Yes (%)","  2059 (20.1) ","   193 (17.0) "," 0.014",""," 3.2"
"earlywake = Yes (%)","  2436 (23.5) ","   235 (20.5) "," 0.025",""," 2.1"
"freqwake = Yes (%)","  3701 (35.7) ","   328 (28.6) ","<0.001",""," 2.1"
"fallasleep = Yes (%)","  2475 (23.9) ","   262 (22.9) "," 0.459",""," 2.1"
"ESS (mean (SD))","  5.82 (4.83)","  5.18 (4.20)","<0.001",""," 2.3"
"essgt10_fct = Yes (%)","  1629 (15.8) ","   135 (11.8) "," 0.001",""," 2.3"
"snore_fct = Yes (%)","  2601 (34.8) ","    67 ( 8.5) ","<0.001","","29.7"
"SLPDUR (mean (SD))","  7.89 (1.41)","  8.25 (1.42)","<0.001",""," 5.4"
"SLPA111 (mean (SD))"," 51.58 (7.82)"," 52.34 (7.73)"," 0.002","","11.6"
"SLPA112 (mean (SD))"," 98.80 (11.30)","100.95 (11.31)","<0.001","","11.6"
"SLPA113 (mean (SD))"," 67.87 (8.98)"," 67.96 (9.14)"," 0.758","","11.6"
"SLPA114 (mean (SD))","  5.24 (1.53)","  5.25 (1.53)"," 0.901","","11.6"
