"","0","1","p","test","Missing"
"n","9875.24","1804.17","","","    "
"AGE (mean (SD))","  43.71 (14.64)","  29.88 (10.89)","<0.001",""," 0.0"
"GENDER = Male (%)"," 5129.0 (51.9) ","  554.7 (30.7) ","<0.001",""," 0.0"
"background (%)"," "," ","<0.001",""," 0.2"
"   Dominican","  975.6 ( 9.9) ","  219.7 (12.3) ","","","    "
"   Central_American","  722.2 ( 7.3) ","  128.0 ( 7.1) ","","","    "
"   Cuban"," 2081.1 (21.1) ","  238.1 (13.3) ","","","    "
"   Mexican"," 3643.6 (37.0) ","  767.2 (42.8) ","","","    "
"   Puerto_Rican"," 1602.5 (16.3) ","  243.1 (13.6) ","","","    "
"   South American","  504.6 ( 5.1) ","   81.0 ( 4.5) ","","","    "
"   Multi","  329.3 ( 3.3) ","  116.0 ( 6.5) ","","","    "
"BMI (mean (SD))","  29.88 (6.02)","  26.82 (5.74)","<0.001",""," 0.1"
"ALCOHOL_USE (%)"," "," "," 0.827",""," 0.1"
"   never"," 1740.1 (17.6) ","  302.8 (16.8) ","","","    "
"   former"," 2977.6 (30.2) ","  542.4 (30.1) ","","","    "
"   current"," 5152.7 (52.2) ","  958.5 (53.1) ","","","    "
"CIGARETTE_USE (%)"," "," ","<0.001",""," 0.2"
"   never"," 5920.0 (60.1) "," 1277.9 (70.9) ","","","    "
"   former"," 1906.0 (19.3) ","  177.1 ( 9.8) ","","","    "
"   current"," 2029.9 (20.6) ","  346.9 (19.3) ","","","    "
"GPAQ_TOTAL_MET (mean (SD))"," 718.34 (1094.39)"," 709.55 (979.83)"," 0.859",""," 0.5"
"AHEI2010 (mean (SD))","  48.17 (7.38)","  44.95 (6.59)","<0.001",""," 1.1"
"OSA_status = OSA (%)","   10.7 ( 0.1) ","    0.0 ( 0.0) "," 0.268",""," 0.0"
"REI3 (mean (SD))","   6.85 (12.72)","   0.08 (0.15)","<0.001",""," 0.0"
"REI0 (mean (SD))","  20.34 (19.49)","   2.03 (1.67)","<0.001",""," 0.0"
"event_length_sec (mean (SD))","  19.12 (4.27)","  16.03 (5.05)","<0.001",""," 0.0"
"SLPA97 (mean (SD))","   0.89 (3.30)","   0.01 (0.05)","<0.001",""," 0.0"
"Per90_status = Hypoxia (%)","  409.7 ( 4.1) ","    0.0 ( 0.0) ","<0.001",""," 0.0"
"hypoxicburden_harmonized (mean (SD))","  22.85 (36.87)","   1.16 (1.11)","<0.001",""," 0.0"
"SLPA91 (mean (SD))","  86.76 (5.84)","  91.92 (1.53)","<0.001",""," 0.0"
"SLPA92 (mean (SD))","  96.41 (0.95)","  97.07 (0.33)","<0.001",""," 0.0"
"baseline_dm = Yes (%)"," 1787.0 (18.1) ","   97.5 ( 5.4) ","<0.001",""," 0.1"
"baseline_htn = Yes (%)"," 2868.4 (29.0) ","   97.9 ( 5.4) ","<0.001",""," 0.0"
"incident_dm = Yes (%)","  824.5 (12.1) ","   68.0 ( 6.7) "," 0.004","","27.8"
"incident_htn = Yes (%)","  835.0 ( 8.5) ","   61.1 ( 3.4) ","<0.001",""," 0.0"
"LABA67 (mean (SD))"," 140.06 (124.96)"," 102.95 (96.98)","<0.001",""," 0.8"
"LABA68 (mean (SD))","  47.98 (12.64)","  50.81 (12.65)","<0.001",""," 0.8"
"LABA69 (mean (SD))"," 122.85 (36.62)"," 109.50 (32.06)","<0.001",""," 2.8"
"LABA70 (mean (SD))"," 103.88 (35.22)","  94.64 (24.49)","<0.001",""," 0.9"
"INSULIN_FAST (mean (SD))","  13.51 (12.85)","  10.86 (8.60)","<0.001",""," 1.2"
"HOMA_IR (mean (SD))","   3.60 (4.08)","   2.63 (3.00)","<0.001",""," 1.2"
"LABA66 (mean (SD))"," 198.24 (43.51)"," 180.23 (38.47)","<0.001",""," 0.8"
"SBPA5 (mean (SD))"," 121.87 (17.22)"," 111.14 (13.54)","<0.001",""," 0.1"
"SBPA6 (mean (SD))","  73.27 (10.92)","  67.08 (9.15)","<0.001",""," 0.1"
"WHIIRS (mean (SD))","   6.82 (5.31)","   6.31 (5.22)"," 0.025",""," 2.8"
"restless = Yes (%)"," 1772.0 (20.4) ","  326.6 (21.5) "," 0.570","","11.5"
"pill = Yes (%)","  710.9 ( 7.3) ","   65.0 ( 3.7) ","<0.001",""," 1.2"
"backtosleep = Yes (%)"," 1791.5 (18.7) ","  303.1 (17.4) "," 0.534",""," 2.5"
"earlywake = Yes (%)"," 2118.3 (21.8) ","  342.0 (19.5) "," 0.190",""," 1.3"
"freqwake = Yes (%)"," 3175.5 (32.6) ","  454.5 (25.8) ","<0.001",""," 1.3"
"fallasleep = Yes (%)"," 2191.9 (22.5) ","  406.5 (23.1) "," 0.745",""," 1.3"
"ESS (mean (SD))","   5.67 (4.73)","   5.25 (4.06)"," 0.008",""," 1.6"
"essgt10_fct = Yes (%)"," 1479.9 (15.2) ","  184.8 (10.5) "," 0.001",""," 1.6"
"snore_fct = Yes (%)"," 2248.1 (31.7) ","   75.5 ( 6.3) ","<0.001","","29.1"
"SLPDUR (mean (SD))","   7.93 (1.42)","   8.32 (1.44)","<0.001",""," 4.6"
"SLPA111 (mean (SD))","  51.07 (7.85)","  51.65 (7.73)"," 0.048",""," 0.0"
"SLPA112 (mean (SD))","  99.50 (11.57)"," 101.45 (11.95)","<0.001",""," 0.0"
"SLPA113 (mean (SD))","  67.70 (9.22)","  67.59 (9.44)"," 0.783",""," 0.0"
"SLPA114 (mean (SD))","   5.38 (1.57)","   5.39 (1.52)"," 0.910",""," 0.0"
