"","0","1","p","test","Missing"
"n"," 10488","  1165","","","    "
"AGE..mean..SD..","   40.60 (14.75)"," 53.92 (12.22)","<0.001",""," 0.0"
"GENDER...Male....","  4147 (39.5) ","   649 (55.7) ","<0.001",""," 0.0"
"background....","  "," "," 0.027",""," 0.2"
"X...Dominican","  1004 ( 9.6) ","    87 ( 7.5) ","","","    "
"X...Central_American","  1089 (10.4) ","   137 (11.8) ","","","    "
"X...Cuban","  1465 (14.0) ","   190 (16.3) ","","","    "
"X...Mexican","  4147 (39.6) ","   439 (37.7) ","","","    "
"X...Puerto_Rican","  1759 (16.8) ","   203 (17.4) ","","","    "
"X...South.American","   682 ( 6.5) ","    82 ( 7.0) ","","","    "
"X...Multi","   317 ( 3.0) ","    27 ( 2.3) ","","","    "
"BMI..mean..SD..","   29.05 (5.91)"," 33.94 (6.41)","<0.001",""," 0.1"
"ALCOHOL_USE....","  "," "," 0.357",""," 0.1"
"X...never","  1956 (18.7) ","   230 (19.8) ","","","    "
"X...former","  3471 (33.1) ","   398 (34.2) ","","","    "
"X...current","  5053 (48.2) ","   536 (46.0) ","","","    "
"CIGARETTE_USE....","  "," ","<0.001",""," 0.2"
"X...never.1","  6418 (61.3) ","   613 (52.6) ","","","    "
"X...former.1","  2021 (19.3) ","   376 (32.3) ","","","    "
"X...current.1","  2030 (19.4) ","   176 (15.1) ","","","    "
"GPAQ_TOTAL_MET..mean..SD..","  726.78 (1075.34)","592.80 (1096.83)"," 0.007",""," 0.5"
"AHEI2010..mean..SD..","   47.50 (7.30)"," 49.84 (7.68)","<0.001",""," 1.1"
"OSA_status...OSA....","    10 ( 0.1) ","     2 ( 0.2) "," 0.772",""," 0.0"
"REI3..mean..SD..","    3.31 (5.24)"," 37.38 (23.05)","<0.001",""," 0.0"
"REI0..mean..SD..","   14.34 (14.36)"," 57.79 (25.18)","<0.001",""," 0.0"
"event_length_sec..mean..SD..","   18.35 (4.33)"," 22.44 (5.32)","<0.001",""," 0.0"
"SLPA97..mean..SD..","    0.22 (0.54)","  7.50 (8.65)","<0.001",""," 0.0"
"Per90_status...Hypoxia....","    10 ( 0.1) ","   466 (40.0) ","<0.001",""," 0.0"
"hypoxicburden_harmonized..mean..SD..","   12.41 (13.78)","109.42 (73.75)","<0.001",""," 0.0"
"SLPA91..mean..SD..","   88.61 (3.96)"," 74.12 (7.34)","<0.001",""," 0.0"
"SLPA92..mean..SD..","   96.66 (0.61)"," 94.61 (1.65)","<0.001",""," 0.0"
"baseline_dm...Yes....","  1967 (18.8) ","   450 (38.6) ","<0.001",""," 0.1"
"baseline_htn...Yes....","  2963 (28.3) ","   662 (56.8) ","<0.001",""," 0.0"
"incident_dm...Yes....","   932 (12.3) ","   160 (18.6) ","<0.001","","27.8"
"incident_htn...Yes....","   998 ( 9.5) ","   125 (10.7) "," 0.201",""," 0.0"
"LABA67..mean..SD..","  131.44 (122.62)","171.48 (104.31)","<0.001",""," 0.8"
"LABA68..mean..SD..","   48.71 (12.76)"," 44.66 (10.99)","<0.001",""," 0.8"
"LABA69..mean..SD..","  120.17 (36.13)","128.73 (37.25)","<0.001",""," 2.8"
"LABA70..mean..SD..","  101.22 (31.77)","118.24 (52.11)","<0.001",""," 0.9"
"INSULIN_FAST..mean..SD..","   12.62 (10.44)"," 19.29 (25.62)","<0.001",""," 1.2"
"HOMA_IR..mean..SD..","    3.28 (3.44)","  5.67 (7.65)","<0.001",""," 1.2"
"LABA66..mean..SD..","  194.57 (43.08)","207.10 (43.83)","<0.001",""," 0.8"
"SBPA5..mean..SD..","  119.43 (16.76)","130.17 (18.80)","<0.001",""," 0.1"
"SBPA6..mean..SD..","   71.81 (10.68)"," 78.70 (11.54)","<0.001",""," 0.1"
"WHIIRS..mean..SD..","    6.72 (5.29)","  6.95 (5.42)"," 0.330",""," 2.8"
"restless...Yes....","  2003 (21.6) ","   213 (20.4) "," 0.396","","11.5"
"pill...Yes....","   748 ( 7.2) ","    83 ( 7.2) "," 1.000",""," 1.2"
"backtosleep...Yes....","  2038 (19.9) ","   214 (18.8) "," 0.373",""," 2.5"
"earlywake...Yes....","  2402 (23.2) ","   269 (23.3) "," 0.966",""," 1.3"
"freqwake...Yes....","  3542 (34.2) ","   487 (42.2) ","<0.001",""," 1.3"
"fallasleep...Yes....","  2489 (24.0) ","   248 (21.5) "," 0.062",""," 1.3"
"ESS..mean..SD..","    5.50 (4.56)","  7.05 (5.31)","<0.001",""," 1.6"
"essgt10_fct...Yes....","  1517 (14.7) ","   247 (21.5) ","<0.001",""," 1.6"
"snore_fct...Yes....","  2042 (27.9) ","   626 (65.7) ","<0.001","","29.1"
"SLPDUR..mean..SD..","    8.00 (1.43)","  7.87 (1.42)"," 0.031",""," 4.6"
"SLPA111..mean..SD..","   51.24 (7.71)"," 50.15 (9.21)"," 0.010",""," 0.0"
"SLPA112..mean..SD..","   99.67 (11.52)","101.50 (13.06)"," 0.002",""," 0.0"
"SLPA113..mean..SD..","   67.47 (9.16)"," 70.38 (10.02)","<0.001",""," 0.0"
"SLPA114..mean..SD..","    5.34 (1.52)","  5.88 (1.93)","<0.001",""," 0.0"
