"","0","1","p","test","Missing"
"n","10825.80","853.60","","","    "
"AGE (mean (SD))","   40.60 (14.75)"," 53.92 (12.22)","<0.001",""," 0.0"
"GENDER = Male (%)","  5120.3 (47.3) "," 563.4 (66.0) ","<0.001",""," 0.0"
"background (%)","  "," ","<0.001",""," 0.2"
"   Dominican","  1127.2 (10.4) ","  68.1 ( 8.0) ","","","    "
"   Central_American","   783.8 ( 7.3) ","  66.4 ( 7.8) ","","","    "
"   Cuban","  2078.8 (19.3) "," 240.5 (28.2) ","","","    "
"   Mexican","  4145.6 (38.4) "," 265.2 (31.1) ","","","    "
"   Puerto_Rican","  1704.1 (15.8) "," 141.5 (16.6) ","","","    "
"   South American","   538.5 ( 5.0) ","  47.2 ( 5.5) ","","","    "
"   Multi","   420.5 ( 3.9) ","  24.8 ( 2.9) ","","","    "
"BMI (mean (SD))","   29.05 (5.91)"," 33.94 (6.41)","<0.001",""," 0.1"
"ALCOHOL_USE (%)","  "," "," 0.338",""," 0.1"
"   never","  1876.0 (17.3) "," 166.9 (19.6) ","","","    "
"   former","  3261.5 (30.1) "," 258.5 (30.3) ","","","    "
"   current","  5683.9 (52.5) "," 427.4 (50.1) ","","","    "
"CIGARETTE_USE (%)","  "," ","<0.001",""," 0.2"
"   never","  6753.6 (62.5) "," 444.3 (52.1) ","","","    "
"   former","  1817.0 (16.8) "," 266.2 (31.2) ","","","    "
"   current","  2233.7 (20.7) "," 143.1 (16.8) ","","","    "
"GPAQ_TOTAL_MET (mean (SD))","  726.78 (1075.34)","592.80 (1096.83)"," 0.007",""," 0.5"
"AHEI2010 (mean (SD))","   47.50 (7.30)"," 49.84 (7.68)","<0.001",""," 1.1"
"OSA_status = OSA (%)","     8.1 ( 0.1) ","   2.7 ( 0.3) "," 0.087",""," 0.0"
"REI3 (mean (SD))","    3.31 (5.24)"," 37.38 (23.05)","<0.001",""," 0.0"
"REI0 (mean (SD))","   14.34 (14.36)"," 57.79 (25.18)","<0.001",""," 0.0"
"event_length_sec (mean (SD))","   18.35 (4.33)"," 22.44 (5.32)","<0.001",""," 0.0"
"SLPA97 (mean (SD))","    0.22 (0.54)","  7.50 (8.65)","<0.001",""," 0.0"
"Per90_status = Hypoxia (%)","    11.9 ( 0.1) "," 397.8 (46.6) ","<0.001",""," 0.0"
"hypoxicburden_harmonized (mean (SD))","   12.41 (13.78)","109.42 (73.75)","<0.001",""," 0.0"
"SLPA91 (mean (SD))","   88.61 (3.96)"," 74.12 (7.34)","<0.001",""," 0.0"
"SLPA92 (mean (SD))","   96.66 (0.61)"," 94.61 (1.65)","<0.001",""," 0.0"
"baseline_dm = Yes (%)","  1555.6 (14.4) "," 329.0 (38.5) ","<0.001",""," 0.1"
"baseline_htn = Yes (%)","  2470.3 (22.8) "," 496.0 (58.1) ","<0.001",""," 0.0"
"incident_dm = Yes (%)","   780.7 (10.8) "," 111.8 (18.8) ","<0.001","","27.8"
"incident_htn = Yes (%)","   811.4 ( 7.5) ","  84.6 ( 9.9) "," 0.025",""," 0.0"
"LABA67 (mean (SD))","  131.44 (122.62)","171.48 (104.31)","<0.001",""," 0.8"
"LABA68 (mean (SD))","   48.71 (12.76)"," 44.66 (10.99)","<0.001",""," 0.8"
"LABA69 (mean (SD))","  120.17 (36.13)","128.73 (37.25)","<0.001",""," 2.8"
"LABA70 (mean (SD))","  101.22 (31.77)","118.24 (52.11)","<0.001",""," 0.9"
"INSULIN_FAST (mean (SD))","   12.62 (10.44)"," 19.29 (25.62)","<0.001",""," 1.2"
"HOMA_IR (mean (SD))","    3.28 (3.44)","  5.67 (7.65)","<0.001",""," 1.2"
"LABA66 (mean (SD))","  194.57 (43.08)","207.10 (43.83)","<0.001",""," 0.8"
"SBPA5 (mean (SD))","  119.43 (16.76)","130.17 (18.80)","<0.001",""," 0.1"
"SBPA6 (mean (SD))","   71.81 (10.68)"," 78.70 (11.54)","<0.001",""," 0.1"
"WHIIRS (mean (SD))","    6.72 (5.29)","  6.95 (5.42)"," 0.330",""," 2.8"
"restless = Yes (%)","  1949.6 (20.6) "," 149.0 (19.5) "," 0.528","","11.5"
"pill = Yes (%)","   712.0 ( 6.7) ","  63.9 ( 7.6) "," 0.362",""," 1.2"
"backtosleep = Yes (%)","  1950.6 (18.6) "," 144.0 (17.4) "," 0.469",""," 2.5"
"earlywake = Yes (%)","  2277.1 (21.4) "," 183.2 (21.8) "," 0.830",""," 1.3"
"freqwake = Yes (%)","  3287.9 (30.9) "," 342.1 (40.6) ","<0.001",""," 1.3"
"fallasleep = Yes (%)","  2411.1 (22.6) "," 187.2 (22.2) "," 0.846",""," 1.3"
"ESS (mean (SD))","    5.50 (4.56)","  7.05 (5.31)","<0.001",""," 1.6"
"essgt10_fct = Yes (%)","  1482.0 (13.9) "," 182.7 (21.9) ","<0.001",""," 1.6"
"snore_fct = Yes (%)","  1845.4 (24.3) "," 478.2 (66.1) ","<0.001","","29.1"
"SLPDUR (mean (SD))","    8.00 (1.43)","  7.87 (1.42)"," 0.031",""," 4.6"
"SLPA111 (mean (SD))","   51.24 (7.71)"," 50.15 (9.21)"," 0.010",""," 0.0"
"SLPA112 (mean (SD))","   99.67 (11.52)","101.50 (13.06)"," 0.002",""," 0.0"
"SLPA113 (mean (SD))","   67.47 (9.16)"," 70.38 (10.02)","<0.001",""," 0.0"
"SLPA114 (mean (SD))","    5.34 (1.52)","  5.88 (1.93)","<0.001",""," 0.0"
