"","0","1","p","test","Missing"
"n"," 10487","  1166","","","    "
"AGE..mean..SD..","   41.42 (15.01)"," 43.96 (14.38)"," 0.001",""," 0.0"
"GENDER...Male....","  4349 (41.5) ","   447 (38.3) "," 0.042",""," 0.0"
"background....","  "," ","<0.001",""," 0.2"
"X...Dominican","  1030 ( 9.8) ","    61 ( 5.2) ","","","    "
"X...Central_American","  1066 (10.2) ","   160 (13.8) ","","","    "
"X...Cuban","  1540 (14.7) ","   115 ( 9.9) ","","","    "
"X...Mexican","  4044 (38.6) ","   542 (46.6) ","","","    "
"X...Puerto_Rican","  1816 (17.4) ","   146 (12.6) ","","","    "
"X...South.American","   650 ( 6.2) ","   114 ( 9.8) ","","","    "
"X...Multi","   319 ( 3.0) ","    25 ( 2.1) ","","","    "
"BMI..mean..SD..","   29.55 (6.13)"," 27.31 (4.79)","<0.001",""," 0.1"
"ALCOHOL_USE....","  "," "," 0.022",""," 0.1"
"X...never","  1938 (18.5) ","   248 (21.3) ","","","    "
"X...former","  3473 (33.1) ","   396 (34.0) ","","","    "
"X...current","  5069 (48.4) ","   520 (44.7) ","","","    "
"CIGARETTE_USE....","  "," "," 0.001",""," 0.2"
"X...never.1","  6294 (60.1) ","   737 (63.4) ","","","    "
"X...former.1","  2143 (20.5) ","   254 (21.9) ","","","    "
"X...current.1","  2035 (19.4) ","   171 (14.7) ","","","    "
"GPAQ_TOTAL_MET..mean..SD..","  720.51 (1085.38)","662.92 (946.54)"," 0.165",""," 0.5"
"AHEI2010..mean..SD..","   47.57 (7.35)"," 49.30 (7.24)","<0.001",""," 1.1"
"OSA_status...OSA....","    11 ( 0.1) ","     1 ( 0.1) "," 1.000",""," 0.0"
"REI3..mean..SD..","    6.04 (12.27)","  2.17 (3.13)","<0.001",""," 0.0"
"REI0..mean..SD..","   17.52 (19.44)"," 17.30 (13.22)"," 0.716",""," 0.0"
"event_length_sec..mean..SD..","   18.34 (4.36)"," 23.38 (4.47)","<0.001",""," 0.0"
"SLPA97..mean..SD..","    0.80 (3.15)","  0.02 (0.09)","<0.001",""," 0.0"
"Per90_status...Hypoxia....","   476 ( 4.5) ","     0 ( 0.0) ","<0.001",""," 0.0"
"hypoxicburden_harmonized..mean..SD..","   19.84 (35.77)"," 14.34 (11.73)","<0.001",""," 0.0"
"SLPA91..mean..SD..","   87.30 (5.79)"," 91.49 (1.81)","<0.001",""," 0.0"
"SLPA92..mean..SD..","   96.48 (0.93)"," 97.02 (0.29)","<0.001",""," 0.0"
"baseline_dm...Yes....","  2222 (21.2) ","   195 (16.7) ","<0.001",""," 0.1"
"baseline_htn...Yes....","  3308 (31.5) ","   317 (27.2) "," 0.003",""," 0.0"
"incident_dm...Yes....","   974 (13.0) ","   118 (13.1) "," 0.941","","27.8"
"incident_htn...Yes....","  1018 ( 9.7) ","   105 ( 9.0) "," 0.473",""," 0.0"
"LABA67..mean..SD..","  135.05 (123.65)","123.97 (88.71)"," 0.003",""," 0.8"
"LABA68..mean..SD..","   48.28 (12.62)"," 50.44 (13.46)","<0.001",""," 0.8"
"LABA69..mean..SD..","  120.70 (36.37)","122.04 (34.89)"," 0.330",""," 2.8"
"LABA70..mean..SD..","  102.73 (34.30)"," 98.52 (28.19)","<0.001",""," 0.9"
"INSULIN_FAST..mean..SD..","   13.28 (12.56)"," 10.45 (7.49)","<0.001",""," 1.2"
"HOMA_IR..mean..SD..","    3.51 (4.04)","  2.59 (2.16)","<0.001",""," 1.2"
"LABA66..mean..SD..","  195.37 (43.36)","197.18 (41.70)"," 0.295",""," 0.8"
"SBPA5..mean..SD..","  120.20 (17.14)","120.42 (17.29)"," 0.769",""," 0.1"
"SBPA6..mean..SD..","   72.40 (10.92)"," 71.02 (10.49)"," 0.006",""," 0.1"
"WHIIRS..mean..SD..","    6.77 (5.31)","  6.24 (5.15)"," 0.020",""," 2.8"
"restless...Yes....","  2029 (21.9) ","   187 (18.2) "," 0.007","","11.5"
"pill...Yes....","   755 ( 7.3) ","    76 ( 6.6) "," 0.404",""," 1.2"
"backtosleep...Yes....","  2038 (19.9) ","   214 (18.9) "," 0.415",""," 2.5"
"earlywake...Yes....","  2415 (23.3) ","   256 (22.2) "," 0.392",""," 1.3"
"freqwake...Yes....","  3646 (35.2) ","   383 (33.1) "," 0.164",""," 1.3"
"fallasleep...Yes....","  2474 (23.9) ","   263 (22.8) "," 0.421",""," 1.3"
"ESS..mean..SD..","    5.62 (4.63)","  5.52 (4.71)"," 0.630",""," 1.6"
"essgt10_fct...Yes....","  1601 (15.5) ","   163 (14.1) "," 0.240",""," 1.6"
"snore_fct...Yes....","  2468 (33.0) ","   200 (25.2) ","<0.001","","29.1"
"SLPDUR..mean..SD..","    8.00 (1.44)","  7.89 (1.22)"," 0.062",""," 4.6"
"SLPA111..mean..SD..","   51.13 (7.86)"," 51.62 (7.54)"," 0.143",""," 0.0"
"SLPA112..mean..SD..","   99.98 (11.67)"," 97.12 (11.00)","<0.001",""," 0.0"
"SLPA113..mean..SD..","   67.81 (9.26)"," 65.68 (8.99)","<0.001",""," 0.0"
"SLPA114..mean..SD..","    5.40 (1.57)","  5.00 (1.38)","<0.001",""," 0.0"
