"trait","model","index","beta","se","lower95","upper95","n","p_val","outcome","strata","p_label","batch"
"REI3","mdl1_both_covar","1",0.49647235621407,0.034,0.42983235621407,0.56311235621407,3299,0.0000000000000000000000000000000000000000000000012558369134053,"sdb_pc1","both","***","batch_1"
"REI3","mdl2_both_covar","2",0.496136767094589,0.034,0.429496767094589,0.562776767094589,3256,0.000000000000000000000000000000000000000000000000563058882468524,"sdb_pc1","both","***","batch_1"
"log_HB","mdl1_both_covar","3",0.749884461523832,0.024,0.702844461523832,0.796924461523832,3299,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000645696197516001,"sdb_pc1","both","***","batch_1"
"log_HB","mdl2_both_covar","4",0.749286419017093,0.024,0.702246419017093,0.796326419017093,3256,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141074546876323,"sdb_pc1","both","***","batch_1"
"sdbpc1_mrs","mdl1_both_covar","5",0.288163633557648,0.024,0.241123633557648,0.335203633557648,3299,0.00000000000000000000000000000000203206534754376,"sdb_pc1","both","***","batch_1"
"sdbpc1_mrs","mdl2_both_covar","6",0.290368230695473,0.024,0.243328230695473,0.337408230695473,3256,0.000000000000000000000000000000000475231261958029,"sdb_pc1","both","***","batch_1"
"sex_sdbpc1_mrs","mdl1_both_covar","7",0.31888854089318,0.021,0.27772854089318,0.36004854089318,3299,0.0000000000000000000000000000000000000000000000000000182210310517695,"sdb_pc1","both","***","batch_1"
"sex_sdbpc1_mrs","mdl2_both_covar","8",0.31913048640119,0.021,0.27797048640119,0.36029048640119,3256,0.000000000000000000000000000000000000000000000000000015320291836815,"sdb_pc1","both","***","batch_1"
"sex_sdbpc2_mrs","mdl1_both_covar","9",0.0203008638216374,0.022,-0.0228191361783626,0.0634208638216374,3299,0.346168919716858,"sdb_pc1","both","","batch_1"
"sex_sdbpc2_mrs","mdl2_both_covar","10",0.0179457362052273,0.021,-0.0232142637947727,0.0591057362052273,3256,0.398685639184198,"sdb_pc1","both","","batch_1"
"sdbpc2_mrs","mdl1_both_covar","11",0.0386897319270127,0.028,-0.0161902680729873,0.0935697319270127,3299,0.161786455323947,"sdb_pc1","both","","batch_1"
"sdbpc2_mrs","mdl2_both_covar","12",0.0375108993863888,0.029,-0.0193291006136112,0.0943508993863888,3256,0.188536213102925,"sdb_pc1","both","","batch_1"
"osa_lasso_mrs","mdl1_both_covar","13",0.106563307903905,0.024,0.0595233079039045,0.153603307903905,3299,0.0000087988695870593,"sdb_pc1","both","***","batch_1"
"osa_lasso_mrs","mdl2_both_covar","14",0.1090116575732,0.024,0.0619716575732003,0.1560516575732,3256,0.00000530181871452806,"sdb_pc1","both","***","batch_1"
"REI3","mdl1_both_covar","1",0.172621975175846,0.017,0.139301975175846,0.205941975175846,3299,0.00000000000000000000000588088381127121,"sdb_pc2","both","***","batch_1"
"REI3","mdl2_both_covar","2",0.16988658380784,0.018,0.13460658380784,0.20516658380784,3256,0.00000000000000000000105709935695475,"sdb_pc2","both","***","batch_1"
"log_HB","mdl1_both_covar","3",-0.333412085489013,0.029,-0.390252085489013,-0.276572085489013,3299,0.00000000000000000000000000000129106444096837,"sdb_pc2","both","***","batch_1"
"log_HB","mdl2_both_covar","4",-0.330123879165645,0.029,-0.386963879165645,-0.273283879165645,3256,0.00000000000000000000000000000872216790474128,"sdb_pc2","both","***","batch_1"
"sdbpc1_mrs","mdl1_both_covar","5",0.00304742347864548,0.025,-0.0459525765213545,0.0520474234786455,3299,0.901560971135554,"sdb_pc2","both","","batch_1"
"sdbpc1_mrs","mdl2_both_covar","6",-0.000646027263548629,0.025,-0.0496460272635486,0.0483539727364514,3256,0.979591876697235,"sdb_pc2","both","","batch_1"
"sex_sdbpc1_mrs","mdl1_both_covar","7",-0.0197739370699154,0.023,-0.0648539370699154,0.0253060629300846,3299,0.38200978302622,"sdb_pc2","both","","batch_1"
"sex_sdbpc1_mrs","mdl2_both_covar","8",-0.0213048814823967,0.023,-0.0663848814823967,0.0237751185176033,3256,0.357278067485307,"sdb_pc2","both","","batch_1"
"sex_sdbpc2_mrs","mdl1_both_covar","9",0.172874724237209,0.024,0.125834724237209,0.219914724237209,3299,0.000000000000695156701648494,"sdb_pc2","both","***","batch_1"
"sex_sdbpc2_mrs","mdl2_both_covar","10",0.163950923312431,0.024,0.116910923312431,0.210990923312431,3256,0.00000000000544232909158425,"sdb_pc2","both","***","batch_1"
"sdbpc2_mrs","mdl1_both_covar","11",0.234333316905666,0.024,0.187293316905666,0.281373316905666,3299,0.000000000000000000000603808257600567,"sdb_pc2","both","***","batch_1"
"sdbpc2_mrs","mdl2_both_covar","12",0.231137090459792,0.024,0.184097090459792,0.278177090459792,3256,0.000000000000000000000550487061955192,"sdb_pc2","both","***","batch_1"
"osa_lasso_mrs","mdl1_both_covar","13",0.0282704942778742,0.025,-0.0207295057221258,0.0772704942778742,3299,0.251856957929857,"sdb_pc2","both","","batch_1"
"osa_lasso_mrs","mdl2_both_covar","14",0.0254261054640293,0.025,-0.0235738945359707,0.0744261054640293,3256,0.306330571617599,"sdb_pc2","both","","batch_1"
"REI3","mdl1_both_covar","1",0.76996822880784,0.059,0.65432822880784,0.88560822880784,1874,0.0000000000000000000000000000000000000021241664604877,"sdb_pc1","female","***","batch_1"
"REI3","mdl2_both_covar","2",0.767034966391737,0.058,0.653354966391737,0.880714966391737,1854,0.0000000000000000000000000000000000000015402388446578,"sdb_pc1","female","***","batch_1"
"log_HB","mdl1_both_covar","3",0.70268513172882,0.022,0.65956513172882,0.74580513172882,1874,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000850221122179754,"sdb_pc1","female","***","batch_1"
"log_HB","mdl2_both_covar","4",0.705899859810025,0.022,0.662779859810025,0.749019859810026,1854,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000492733752933548,"sdb_pc1","female","***","batch_1"
