"","Female","Male","p","test"
"n","5995.73","5683.68","",""
"AGE (mean (SD))","  42.31 (15.17)","  40.80 (14.76)","<0.01",""
"GENDER = Male (%)","    0.0 ( 0.0) "," 5683.7 (100.0) ","<0.01",""
"background (%)"," "," ","<0.01",""
"   Dominican","  713.1 (11.9) ","  482.2 (  8.5) ","",""
"   Central_American","  432.7 ( 7.2) ","  417.5 (  7.4) ","",""
"   Cuban"," 1086.2 (18.2) "," 1233.0 ( 21.7) ","",""
"   Mexican"," 2296.9 (38.4) "," 2113.9 ( 37.3) ","",""
"   Puerto_Rican","  934.6 (15.6) ","  911.0 ( 16.1) ","",""
"   South American","  305.1 ( 5.1) ","  280.5 (  4.9) ","",""
"   Multi","  212.2 ( 3.5) ","  233.1 (  4.1) ","",""
"BMI (mean (SD))","  29.87 (6.62)","  28.93 (5.41)","<0.01",""
"ALCOHOL_USE (%)"," "," ","<0.01",""
"   never"," 1488.1 (24.8) ","  554.8 (  9.8) ","",""
"   former"," 2032.1 (33.9) "," 1487.9 ( 26.2) ","",""
"   current"," 2471.6 (41.2) "," 3639.6 ( 64.1) ","",""
"CIGARETTE_USE (%)"," "," ","<0.01",""
"   never"," 4284.6 (71.6) "," 2913.3 ( 51.4) ","",""
"   former","  776.5 (13.0) "," 1306.7 ( 23.0) ","",""
"   current","  925.6 (15.5) "," 1451.2 ( 25.6) ","",""
"GPAQ_TOTAL_MET (mean (SD))"," 454.71 (755.30)"," 995.18 (1279.48)","<0.01",""
"AHEI2010 (mean (SD))","  46.51 (7.21)","  48.90 (7.31)","<0.01",""
"OSA_status = OSA (%)","    4.6 ( 0.1) ","    6.2 (  0.1) "," 0.58",""
"REI3 (mean (SD))","   3.97 (8.79)","   7.74 (14.31)","<0.01",""
"REI0 (mean (SD))","  14.09 (16.60)","  21.12 (20.85)","<0.01",""
"event_length_sec (mean (SD))","  17.92 (4.45)","  19.41 (4.50)","<0.01",""
"SLPA97 (mean (SD))","   0.50 (2.38)","   1.01 (3.61)","<0.01",""
"Per90_status = Hypoxia (%)","  129.9 ( 2.2) ","  279.8 (  4.9) ","<0.01",""
"hypoxicburden_harmonized (mean (SD))","  14.33 (24.72)","  24.95 (42.26)","<0.01",""
"SLPA91 (mean (SD))","  88.23 (5.24)","  86.84 (6.10)","<0.01",""
"SLPA92 (mean (SD))","  96.63 (0.80)","  96.38 (1.00)","<0.01",""
"baseline_dm = Yes (%)","  986.7 (16.5) ","  897.8 ( 15.8) "," 0.46",""
"baseline_htn = Yes (%)"," 1554.0 (25.9) "," 1412.3 ( 24.8) "," 0.34",""
"incident_dm = Yes (%)","  476.8 (11.1) ","  415.6 ( 11.8) "," 0.43",""
"incident_htn = Yes (%)","  478.5 ( 8.0) ","  417.6 (  7.3) "," 0.33",""
"LABA67 (mean (SD))"," 119.44 (75.74)"," 150.15 (154.84)","<0.01",""
"LABA68 (mean (SD))","  51.85 (12.83)","  44.79 (11.45)","<0.01",""
"LABA69 (mean (SD))"," 118.88 (35.18)"," 122.84 (37.32)","<0.01",""
"LABA70 (mean (SD))"," 100.20 (33.42)"," 104.86 (34.37)","<0.01",""
"INSULIN_FAST (mean (SD))","  13.23 (11.11)","  12.97 (13.50)"," 0.41",""
"HOMA_IR (mean (SD))","   3.44 (3.85)","   3.46 (4.06)"," 0.82",""
"LABA66 (mean (SD))"," 194.60 (41.84)"," 196.41 (44.70)"," 0.14",""
"SBPA5 (mean (SD))"," 117.16 (18.52)"," 123.43 (14.91)","<0.01",""
"SBPA6 (mean (SD))","  71.09 (10.66)","  73.60 (10.99)","<0.01",""
