"","Overall","Missing"
"n"," 11653","    "
"AGE (mean (SD))"," 46.33 (13.77)"," 0.0"
"GENDER = Male (%)","  4796 (41.2) "," 0.0"
"background (%)","  "," 0.2"
"   Dominican","  1091 ( 9.4) ","    "
"   Central_American","  1226 (10.5) ","    "
"   Cuban","  1655 (14.2) ","    "
"   Mexican","  4586 (39.4) ","    "
"   Puerto_Rican","  1962 (16.9) ","    "
"   South American","   764 ( 6.6) ","    "
"   Multi","   344 ( 3.0) ","    "
"BMI (mean (SD))"," 29.83 (6.01)"," 0.1"
"ALCOHOL_USE (%)","  "," 0.1"
"   never","  2186 (18.8) ","    "
"   former","  3869 (33.2) ","    "
"   current","  5589 (48.0) ","    "
"CIGARETTE_USE (%)","  "," 0.2"
"   never","  7031 (60.4) ","    "
"   former","  2397 (20.6) ","    "
"   current","  2206 (19.0) ","    "
"GPAQ_TOTAL_MET (mean (SD))","630.96 (992.15)"," 0.5"
"AHEI2010 (mean (SD))"," 49.07 (7.58)"," 1.1"
"OSA_status = OSA (%)","    12 ( 0.1) "," 0.0"
"event_length_sec (mean (SD))"," 18.86 (4.43)"," 0.0"
"SLPA97 (mean (SD))","  0.87 (3.13)"," 0.0"
"Per90_status = Hypoxia (%)","   476 ( 4.1) "," 0.0"
"hypoxicburden_harmonized (mean (SD))"," 22.40 (37.61)"," 0.0"
"SLPA91 (mean (SD))"," 86.94 (6.10)"," 0.0"
"SLPA92 (mean (SD))"," 96.43 (0.95)"," 0.0"
"baseline_dm (mean (SD))","  0.21 (0.41)"," 0.1"
"baseline_htn (mean (SD))","  0.31 (0.46)"," 0.0"
"incident_dm (mean (SD))","  0.13 (0.34)","27.8"
"incident_htn (mean (SD))","  0.10 (0.30)"," 0.0"
"LABA67 (mean (SD))","141.19 (134.23)"," 0.8"
"LABA68 (mean (SD))"," 49.02 (12.97)"," 0.8"
"LABA69 (mean (SD))","123.17 (36.55)"," 2.8"
"LABA70 (mean (SD))","104.75 (36.27)"," 0.9"
"INSULIN_FAST (mean (SD))"," 13.34 (12.91)"," 1.2"
"HOMA_IR (mean (SD))","  3.60 (4.36)"," 1.2"
"LABA66 (mean (SD))","199.86 (44.14)"," 0.8"
"SBPA5 (mean (SD))","122.12 (17.91)"," 0.1"
"SBPA6 (mean (SD))"," 73.14 (10.95)"," 0.1"
