"","Non-OSA","OSA","p","test"
"n"," 11641","    12","",""
"AGE (mean (SD))"," 46.32 (13.77)"," 52.83 (11.46)"," 0.10",""
"GENDER = Male (%)","  4790 (41.1) ","     6 ( 50.0) "," 0.74",""
"background (%)","  ","    "," 0.66",""
"   Dominican","  1089 ( 9.4) ","     2 ( 16.7) ","",""
"   Central_American","  1225 (10.5) ","     1 (  8.3) ","",""
"   Cuban","  1652 (14.2) ","     3 ( 25.0) ","",""
"   Mexican","  4583 (39.5) ","     3 ( 25.0) ","",""
"   Puerto_Rican","  1961 (16.9) ","     1 (  8.3) ","",""
"   South American","   763 ( 6.6) ","     1 (  8.3) ","",""
"   Multi","   343 ( 3.0) ","     1 (  8.3) ","",""
"BMI (mean (SD))"," 29.83 (6.01)"," 33.11 (4.29)"," 0.06",""
"ALCOHOL_USE (%)","  ","    "," 0.11",""
"   never","  2181 (18.8) ","     5 ( 41.7) ","",""
"   former","  3867 (33.2) ","     2 ( 16.7) ","",""
"   current","  5584 (48.0) ","     5 ( 41.7) ","",""
"CIGARETTE_USE (%)","  ","    "," 0.90",""
"   never","  7023 (60.4) ","     8 ( 66.7) ","",""
"   former","  2395 (20.6) ","     2 ( 16.7) ","",""
"   current","  2204 (19.0) ","     2 ( 16.7) ","",""
"GPAQ_TOTAL_MET (mean (SD))","631.10 (992.26)","493.33 (905.01)"," 0.63",""
"AHEI2010 (mean (SD))"," 49.07 (7.58)"," 50.05 (7.41)"," 0.67",""
"OSA_status = OSA (%)","     0 ( 0.0) ","    12 (100.0) ","<0.01",""
"event_length_sec (mean (SD))"," 18.86 (4.43)"," 18.18 (3.15)"," 0.60",""
"SLPA97 (mean (SD))","  0.87 (3.13)","  0.77 (0.96)"," 0.92",""
"Per90_status = Hypoxia (%)","   476 ( 4.1) ","     0 (  0.0) "," 1.00",""
"hypoxicburden_harmonized (mean (SD))"," 22.38 (37.63)"," 35.02 (16.15)"," 0.24",""
"SLPA91 (mean (SD))"," 86.95 (6.10)"," 82.63 (6.58)"," 0.01",""
"SLPA92 (mean (SD))"," 96.43 (0.95)"," 96.26 (0.53)"," 0.53",""
"baseline_dm (mean (SD))","  0.21 (0.41)","  0.17 (0.39)"," 0.73",""
"baseline_htn (mean (SD))","  0.31 (0.46)","  0.58 (0.51)"," 0.04",""
"incident_dm (mean (SD))","  0.13 (0.34)","  0.40 (0.52)"," 0.01",""
"incident_htn (mean (SD))","  0.10 (0.29)","  0.25 (0.45)"," 0.07",""
"LABA67 (mean (SD))","141.20 (134.28)","130.78 (63.48)"," 0.79",""
"LABA68 (mean (SD))"," 49.02 (12.97)"," 46.58 (12.92)"," 0.51",""
"LABA69 (mean (SD))","123.16 (36.55)","124.16 (41.99)"," 0.92",""
"LABA70 (mean (SD))","104.73 (36.25)","117.08 (52.88)"," 0.24",""
"INSULIN_FAST (mean (SD))"," 13.34 (12.91)"," 14.96 (9.59)"," 0.66",""
"HOMA_IR (mean (SD))","  3.60 (4.36)","  4.04 (2.42)"," 0.73",""
"LABA66 (mean (SD))","199.87 (44.14)","196.92 (46.21)"," 0.82",""
"SBPA5 (mean (SD))","122.12 (17.91)","127.00 (19.45)"," 0.35",""
"SBPA6 (mean (SD))"," 73.13 (10.95)"," 82.25 (9.32)","<0.01",""
